cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	source_row_1based	review_route	focus5	new_review_ids	inherited_evidence_ids	inherited_review_note	inherited_metabolic_link	inherited_counterevidence	independent_patient_association	actual_metabolite_coverage	actual_RNA_or_protein_coverage	paired_specimen_identity	exact_metabolite_identity_requirement	functional_decision	existing_arrangement	new_arrangement_review	next_dataset_action	proof_status
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00130	inosine 5'-monophosphate (IMP)	CANT1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	26	MEASURE_EXACT_METABOLITE_AND_MEDIATION	False	NA		Reuse prior recorded depth;not fresh exhaustive full-text review	IMP的生成/底物角色须精确核对，不能直接写成IMP降解	数据库反应注释不等同IMP特异性，其他癌种证据不代替	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00130; exact annotated feature required, no related-metabolite substitution	Require inosine 5'-monophosphate (IMP) readout after exact CANT1 manipulation, metabolite mediation/rescue, and compatible cell/compartment;retain prior limitations	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00130	inosine 5'-monophosphate (IMP)	ENTPD3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	27	MEASURE_EXACT_METABOLITE_AND_MEDIATION	False	NA	E39	Reuse prior recorded depth;not fresh exhaustive full-text review	IMP候选反应角色仍需核查	CRC外泌体研究命中为ENTPD2，不是ENTPD3	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00130; exact annotated feature required, no related-metabolite substitution	Require inosine 5'-monophosphate (IMP) readout after exact ENTPD3 manipulation, metabolite mediation/rescue, and compatible cell/compartment;retain prior limitations	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00130	inosine 5'-monophosphate (IMP)	GMPR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	28	MEASURE_EXACT_METABOLITE_AND_MEDIATION	False	NA		Reuse prior recorded depth;not fresh exhaustive full-text review	保留IMP生化联系及患者名义关联	GMPR2、GMPS或其他癌种研究不能直接替代	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00130; exact annotated feature required, no related-metabolite substitution	Require inosine 5'-monophosphate (IMP) readout after exact GMPR manipulation, metabolite mediation/rescue, and compatible cell/compartment;retain prior limitations	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00407	isoleucine	BCAT2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	29	CONDITIONAL_BCAA_FOLLOWUP	False	NA	E18	Reuse prior recorded depth;not fresh exhaustive full-text review	Fig7E直接包含BCAT2敲低与BCAA消费，Fig7F-G包含肿瘤终点；不等于本批CAMP亮氨酸/异亮氨酸关联的患者因果证明。	正常BCAA饮食下，单独sh-BCAT2与对照的肿瘤发展未见显著差异；作用依circRNA和营养背景，不能概括为单独抑制BCAT2普遍抑瘤。图中原始数值和全部生物重复未独立重分析。	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00407; exact annotated feature required, no related-metabolite substitution	Resolve individual isoleucine versus pooled BCAA readout;retain nutrition/circRNA conditions and normal-diet negative result	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00407	isoleucine	SLC7A8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	30	MEASURE_EXACT_METABOLITE_AND_MEDIATION	False	NA	E35	Reuse prior recorded depth;not fresh exhaustive full-text review	异亮氨酸/亮氨酸相关仍不能决定净摄取和干预方向	LAT1/SLC7A5不是LAT2/SLC7A8；其他癌种不能自动迁移	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00407; exact annotated feature required, no related-metabolite substitution	Require isoleucine readout after exact SLC7A8 manipulation, metabolite mediation/rescue, and compatible cell/compartment;retain prior limitations	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00123	leucine	SLC6A17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	31	MEASURE_EXACT_METABOLITE_AND_MEDIATION	False	NA	E29;E30	Reuse prior recorded depth;not fresh exhaustive full-text review	亮氨酸/脯氨酸关系具有生化可能性，但区室和细胞来源关键	相关较强不等于CRC依赖；不能把囊泡转运视作癌细胞质膜摄取	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00123; exact annotated feature required, no related-metabolite substitution	Require leucine readout after exact SLC6A17 manipulation, metabolite mediation/rescue, and compatible cell/compartment;retain prior limitations	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00123	leucine	SLC7A8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	32	MEASURE_EXACT_METABOLITE_AND_MEDIATION	False	NA	E35	Reuse prior recorded depth;not fresh exhaustive full-text review	异亮氨酸/亮氨酸相关仍不能决定净摄取和干预方向	LAT1/SLC7A5不是LAT2/SLC7A8；其他癌种不能自动迁移	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00123; exact annotated feature required, no related-metabolite substitution	Require leucine readout after exact SLC7A8 manipulation, metabolite mediation/rescue, and compatible cell/compartment;retain prior limitations	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00148	proline	SLC6A17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	33	MEASURE_EXACT_METABOLITE_AND_MEDIATION	False	NA	E29;E30	Reuse prior recorded depth;not fresh exhaustive full-text review	亮氨酸/脯氨酸关系具有生化可能性，但区室和细胞来源关键	相关较强不等于CRC依赖；不能把囊泡转运视作癌细胞质膜摄取	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00148; exact annotated feature required, no related-metabolite substitution	Require proline readout after exact SLC6A17 manipulation, metabolite mediation/rescue, and compatible cell/compartment;retain prior limitations	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00245	taurine	SLC6A6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	34	EXACT_METABOLITE_FOLLOWUP	False	NA	E01	Reuse prior recorded depth;not fresh exhaustive full-text review	直接运输证据较实，但不是本次CAMP已验证通量	主要为存活/耐药和侧群表型，非全部条件增殖加速；机制已知	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00245; exact annotated feature required, no related-metabolite substitution	Use established taurine uptake assay as starting evidence;match treatment/cell state and determine whether transport change mediates phenotype	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00299	uridine	SLC29A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	35	MEASURE_EXACT_METABOLITE_AND_MEDIATION	False	NA	E22	Reuse prior recorded depth;not fresh exhaustive full-text review	运输关系较具体，但不等于一般抗肿瘤依赖	抑制转运可能降低特定药物疗效，不宜直接建议抑制	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00299; exact annotated feature required, no related-metabolite substitution	Require uridine readout after exact SLC29A1 manipulation, metabolite mediation/rescue, and compatible cell/compartment;retain prior limitations	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00299	uridine	UCKL1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	36	SEPARATE_METABOLIC_AND_NONCATALYTIC	False	NA	E04	Reuse prior recorded depth;not fresh exhaustive full-text review	所报道作用明确不依赖UMP/CMP合成；RNA—尿苷联系不能直接解释它	不能把非经典NRF2/SLC7A11功能改写成尿苷消耗机制	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00299; exact annotated feature required, no related-metabolite substitution	Require independent evidence for uridine mediation;existing noncanonical NRF2/ferroptosis function cannot fill that gap	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00299	uridine	UPP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	37	MEASURE_EXACT_METABOLITE_AND_MEDIATION	False	NA	E37	Reuse prior recorded depth;not fresh exhaustive full-text review	尿苷磷酸解关系可保留，但患者相关方向不是净通量	UPP1不是UPP2；不得把UPP1肿瘤论文转记	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00299; exact annotated feature required, no related-metabolite substitution	Keep8-positive/20-zero external-expression finding;verify UPP2-specific uridine turnover without borrowing UPP1	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00015	uridine 5'-diphosphate (UDP)	B4GALT2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	38	GENE_FUNCTION_UPDATE_METABOLITE_GAP	True	F05	E23	Reuse prior recorded depth;not fresh exhaustive full-text review	UDP属于反应相关产物，不是该基因专属通量指标	不能把同文B3GNT2/ST6GALNAC2的迁移表型归给B4GALT2	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00015; exact annotated feature required, no related-metabolite substitution	Reassess functional hold with2026CRC interference evidence;measure UDP versus UDP-galactose and glycosylation endpoints separately	UNCHANGED_9_21_5	NEEDS_REVIEW_NEW_FUNCTIONAL_EVIDENCE	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00015	uridine 5'-diphosphate (UDP)	NME6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	39	MEASURE_EXACT_METABOLITE_AND_MEDIATION	False	NA	E25;E26;E27;E28	Reuse prior recorded depth;not fresh exhaustive full-text review	2023伴侣依赖活性修正了单体无活性的简单理解	K562及乳腺癌证据不是COAD功能；组织UDP不是线粒体UDP池	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00015; exact annotated feature required, no related-metabolite substitution	Require uridine 5'-diphosphate (UDP) readout after exact NME6 manipulation, metabolite mediation/rescue, and compatible cell/compartment;retain prior limitations	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
