基因	候选范围	是否新增	本轮直接关系数	对应代谢物	配对RNA效应_作者尺度	配对RNA新版q	肿瘤RNA较高对数	肿瘤RNA较低对数	CAMP本轮q小于005关系	FUSCC本轮q小于005关系	Tang本轮q小于005关系	FUSCC下载受阻关系数	功能证据	功能限制	当前决定
MGLL	CURRENT150	True	7	arachidonate (20:4n6);oleate (18:1n9);stearate (18:0);1-palmitoylglycerol (1-monopalmitin);laurate (12:0);myristate (14:0);1-stearoylglycerol (18:0)	-1.1314647735344583	2.077547346809464e-08	5.0	40.0				5.0	BRCA_PHARMACOLOGY	TNBC-HBMEC共培养;4T1-BrM5：药理为主；不能由CAMP整体RNA下降判定抑制方向	保留候选；患者未显著或缺测不取消功能证据
MPI	CURRENT150	False	2	mannose 6-phosphate;fructose-6-phosphate	-0.075134686916673	0.1394317531952411	16.0	29.0				0.0	特定条件的无效/反向证据	S118：不能把HT1080全部结果外推到乳腺癌；不是MPI敲除对所有条件都无效，更不是普适抗肿瘤证据	保留候选；患者未显著或缺测不取消功能证据
NAGK	CURRENT150	False	2	N-acetylglucosamine;N-acetylglucosamine 6-phosphate	0.4258858530877447	9.86274383072323e-08	36.0	9.0				0.0	观察性或非基因特异背景	S117：未见本轮核查内容中NAGK独立基因敲低效应；不能误把拮抗FR054当作抗癌支持	保留候选；患者未显著或缺测不取消功能证据
NAMPT	CURRENT150	False	1	nicotinamide	-0.4060242220564979	0.0027091891269978	15.0	30.0		KEGG:C00153|NAMPT		0.0	有干预但情境/方向分歧	S069：与部分生长抑制研究方向不同；区分原发生长、转移与营养环境 | S070：摘要部分方向表述需全文核对；药物效应不直接等同遗传效应 | S071：药物靶向证据，不是本项目DepMap或临床安全性	保留患者关联线索；逐关系比较效应、缺失及外部支持
NNMT	CURRENT150	False	3	S-adenosylhomocysteine (SAH);nicotinamide;1-methylnicotinamide	-0.4072852370498553	0.0048816254049943	15.0	30.0	KEGG:C02918|NNMT	KEGG:C02918|NNMT		0.0	有乳腺癌遗传干预报告	S066：这是既有具体代谢机制，不能作为CAMP新发现；不同细胞来源仍需区分 | S067：不同代谢和非代谢环节不能合并为同一机制 | S068：药物背景依赖，不能等同未治疗肿瘤普遍依赖	保留患者关联线索；逐关系比较效应、缺失及外部支持
NPL	CURRENT150	False	1	N-acetylneuraminate	0.6185204992916522	0.0002126534977161	37.0	8.0				0.0	本轮未取得适用干预报告	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	保留候选；患者未显著或缺测不取消功能证据
NT5C2	CURRENT150	True	2	inosine;xanthosine	0.0915166293816575	0.2273414704076381	26.0	19.0				2.0	NO_CURATED_BREAST_SELF_PERTURBATION_THIS_PASS	NA	保留候选；患者未显著或缺测不取消功能证据
OAT	CURRENT150	False	2	glutamate;ornithine	0.1691926286784821	0.1066181652651339	28.0	17.0		KEGG:C00025|OAT		0.0	观察性或非基因特异背景	S072：不得将胰腺癌OAT敲低研究当乳腺癌验证	保留患者关联线索；逐关系比较效应、缺失及外部支持
ODC1	CURRENT150	False	2	ornithine;putrescine	-0.038439680245057	0.8216380429596449	21.0	24.0				0.0	有乳腺癌遗传干预报告	S073：干细胞富集/复发终点不能改写为普遍缩瘤	保留候选；患者未显著或缺测不取消功能证据
OTC	CURRENT150	False	2	ornithine;citrulline	-0.0247459098669037	0.4489750288532335	22.0	23.0				0.0	本轮未取得适用干预报告	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	保留候选；患者未显著或缺测不取消功能证据
PAH	HISTORICAL6_ONLY	False	0		NA	NA	NA	NA	HISTORICAL_ONLY	HISTORICAL_ONLY	HISTORICAL_ONLY	NA	本轮未取得适用干预报告	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	历史保留：不在当前190入口，已有结果不删除
PANK1	CURRENT150	False	1	pantothenate	0.1235070844622964	0.0282421605196248	28.0	17.0				0.0	本轮未取得适用干预报告	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	保留候选；患者未显著或缺测不取消功能证据
PANK2	CURRENT150	False	1	pantothenate	0.2585838494574605	0.0043177673452421	33.0	12.0				0.0	功能线索待方法/模型核定	S075：关键功能结论涉及PANK4；不可全部归到PANK2	保留候选；患者未显著或缺测不取消功能证据
PANK3	CURRENT150	False	1	pantothenate	0.077430472699723	0.2879350318683258	27.0	18.0				0.0	观察性或非基因特异背景	S076：预后签名不构成功能支持	保留候选；患者未显著或缺测不取消功能证据
PCYT1A	CURRENT150	False	1	cytidine 5'-diphosphocholine	0.0007244955097924	0.991387435405644	21.0	24.0				0.0	功能线索待方法/模型核定	S077：混合提取物/药物背景；摘要未充分核实PCYT1A特异敲低	保留候选；患者未显著或缺测不取消功能证据
PCYT1B	CURRENT150	False	1	cytidine 5'-diphosphocholine	-0.0437298928685662	0.3707265194808285	19.0	26.0				0.0	本轮未取得适用干预报告	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	保留候选；患者未显著或缺测不取消功能证据
PCYT2	CURRENT150	False	1	phosphoethanolamine	-0.0527928361028652	0.6000254903140021	20.0	25.0	KEGG:C00346|PCYT2			0.0	功能线索待方法/模型核定	S078：不是已证实基因抑制降低肿瘤生长的结果 | S079：明确是卵巢癌，不计作BRCA干预	保留患者关联线索；逐关系比较效应、缺失及外部支持
PEPD	CURRENT150	False	3	glycylproline;glycine;proline	-0.2220783571170305	0.015470986871618	16.0	29.0				0.0	外源非催化蛋白干预	S080：酶失活PEPD变体的受体降解作用，不能推断应抑制内源PEPD | S081：相关研究系列；不能计为CAMP代谢机制独立验证	保留候选；患者未显著或缺测不取消功能证据
PFKL	CURRENT150	False	1	fructose-6-phosphate	0.2421776834224296	0.0001197067236774	33.0	12.0				0.0	药物结合遗传靶点检验	S082：药物主导且已有靶点依赖支持；非临床药效证明	保留候选；患者未显著或缺测不取消功能证据
PFKM	CURRENT150	False	1	fructose-6-phosphate	0.1527626994192182	0.0119849966221224	28.0	17.0				0.0	本轮未取得适用干预报告	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	保留候选；患者未显著或缺测不取消功能证据
PFKP	CURRENT150	False	1	fructose-6-phosphate	0.3286132554790875	0.0141400878517844	30.0	15.0				0.0	有乳腺癌遗传干预报告	S083：体外跨亚型支持，不等同所有临床亚型依赖 | S084：细胞状态与治疗背景，不可替代一般生存依赖	保留候选；患者未显著或缺测不取消功能证据
PGD	CURRENT150	False	1	6-phosphogluconate	-0.1252895205975278	0.3506292926649168	22.0	23.0				0.0	有乳腺癌遗传干预报告	S085：单一MCF7模型；ROS未增加，不支持把该酶普适定义为氧化应激控制因子；未验证当前CAMP 6PG丰度介导表型。	保留候选；患者未显著或缺测不取消功能证据
PGM3	CURRENT150	False	1	N-acetylglucosamine 6-phosphate	0.1305278487481452	0.2616771292773676	25.0	20.0				0.0	药物结合遗传靶点检验	S116：部分体外浓度0.5–1mM；药物主导，非全基因敲除机制；临床特异性/安全性未证实	保留候选；患者未显著或缺测不取消功能证据
PMM1	CURRENT150	False	1	mannose 6-phosphate	-0.0478631198847785	0.5669202355671454	21.0	24.0		KEGG:C00275|PMM1		0.0	本轮未取得适用干预报告	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	保留患者关联线索；逐关系比较效应、缺失及外部支持
PMM2	CURRENT150	False	1	mannose 6-phosphate	0.3671967424629299	5.159506765672149e-06	34.0	11.0				0.0	有乳腺癌遗传干预报告	S086：明确ESR1突变背景；不能外推CAMP未分型队列	保留候选；患者未显著或缺测不取消功能证据
PNP	CURRENT150	False	3	guanine;hypoxanthine;inosine	0.2501597841576832	0.0789004156138928	29.0	16.0	KEGG:C00242|PNP			0.0	有乳腺癌遗传干预报告	S087：不是PNP单药普遍杀伤；细菌PNP-前药体系不等价	保留患者关联线索；逐关系比较效应、缺失及外部支持
PPA1	CURRENT150	False	2	phosphate;pyrophosphate (PPi)	-0.2739840990158226	0.0011981692762348	14.0	31.0				0.0	有乳腺癌遗传干预报告	S088：不能把PI3K通路表型等同CAMP磷酸机制	保留候选；患者未显著或缺测不取消功能证据
PPA2	CURRENT150	False	2	phosphate;pyrophosphate (PPi)	0.1077512230189646	0.0467081127443193	29.0	16.0				0.0	本轮未取得适用干预报告	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	保留候选；患者未显著或缺测不取消功能证据
PRODH	CURRENT150	False	1	proline	0.1115793871895129	0.3228631189855074	21.0	24.0				0.0	功能线索待方法/模型核定	S089：3D与2D/原发瘤终点不同；不能据动物观察声称临床安全 | S090：多靶点药物，高浓度；不是PRODH过表达单独因果结论	保留候选；患者未显著或缺测不取消功能证据
PRODH2	CURRENT150	False	1	trans-4-hydroxyproline	-0.0005719628538208	0.9871033518269848	23.0	22.0				0.0	有乳腺癌遗传干预报告	S091：非一般原发瘤结论；Hyp变化与骨吸收反馈，不能用单一消费箭头解释	保留候选；患者未显著或缺测不取消功能证据
PTGS1	CURRENT150	True	1	arachidonate (20:4n6)	0.3104061237447639	0.0019945841069916	30.0	15.0				1.0	NO_CURATED_BREAST_SELF_PERTURBATION_THIS_PASS	NA	保留候选；患者未显著或缺测不取消功能证据
PTGS2	CURRENT150	True	1	arachidonate (20:4n6)	-0.9771565428201244	2.0690202620492247e-05	11.0	34.0				1.0	BRCA_GENETIC	DANCR/脑转移背景乳腺癌细胞：公开GEO多为背景队列，不能当PTGS2直接干预数据	保留候选；患者未显著或缺测不取消功能证据
PUDP	CURRENT150	True	1	pseudouridine	0.1244061762482658	0.0129693610488248	28.0	17.0				1.0	NO_CURATED_BREAST_SELF_PERTURBATION_THIS_PASS	NA	保留候选；患者未显著或缺测不取消功能证据
PYCR1	CURRENT150	False	1	proline	0.7332117350172779	9.86274383072323e-08	37.0	8.0				0.0	有乳腺癌遗传干预报告	S092：癌细胞单培养依赖不能评估这一基质机制 | S093：特定应激背景；与CAF论文机制不可合并	保留候选；患者未显著或缺测不取消功能证据
PYCR2	CURRENT150	False	1	proline	0.1370963425233046	0.0016586259332647	32.0	13.0				0.0	有乳腺癌遗传干预报告	S094：不能把AKT表型直接认定脯氨酸介导	保留候选；患者未显著或缺测不取消功能证据
PYCR3	CURRENT150	False	1	proline	0.3272773741035645	2.018901676818563e-06	37.0	8.0				0.0	有乳腺癌遗传干预报告	S095：本文观察线粒体定位；总RNA/家族注释不能代替机制	保留候选；患者未显著或缺测不取消功能证据
RBKS	CURRENT150	False	1	ribose	0.021545046570864	0.7881598064177024	21.0	24.0				0.0	本轮未取得适用干预报告	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	保留候选；患者未显著或缺测不取消功能证据
RFK	CURRENT150	False	1	riboflavin (Vitamin B2)	0.016708828789743	0.7015349836521529	22.0	23.0				0.0	一手访问受阻的预印本线索	S122：预印本、非同行评议确认；本轮一手页面访问失败；不升级为已验证功能	保留候选；患者未显著或缺测不取消功能证据
SDHA	CURRENT150	True	1	succinate	-0.0076214764836897	0.9113500408501372	20.0	25.0				1.0	BRCA_GENETIC	MCF7;SKBR3：全文取得失败；不据此把所有SDH亚基统一抑制	保留候选；患者未显著或缺测不取消功能证据
SDHB	CURRENT150	True	1	succinate	-0.0745121773176486	0.3256830855793898	21.0	24.0				1.0	NO_CURATED_BREAST_SELF_PERTURBATION_THIS_PASS	NA	保留候选；患者未显著或缺测不取消功能证据
SDHC	CURRENT150	True	1	succinate	0.0230921394969078	0.8331630697486853	18.0	27.0				1.0	BRCA_GENETIC_DIRECTION_CAUTION	MCF7：球体生长/稳定性也下降；不能只用一种终点判断促癌抑癌	保留候选；患者未显著或缺测不取消功能证据
SDHD	CURRENT150	True	1	succinate	-0.2330178036080945	0.0005351880219434	12.0	33.0				1.0	BRCA_GENETIC_DIRECTION_CAUTION	MCF7：不能把SDHA的干预方向直接移到SDHD	保留候选；患者未显著或缺测不取消功能证据
SHMT1	CURRENT150	False	2	glycine;serine	-0.7265482454608492	3.0875635088713054e-08	6.0	39.0				0.0	功能线索待方法/模型核定	S096：摘要不足以确认SHMT1独立遗传干预终点	保留候选；患者未显著或缺测不取消功能证据
SHMT2	CURRENT150	False	2	glycine;serine	0.4723285378425518	6.360200202425422e-07	40.0	5.0				0.0	有乳腺癌遗传干预报告	S097：相关通路不等同酶催化机制 | S098：药物主导；基因救援细节待全文，不作为临床有效性	保留候选；患者未显著或缺测不取消功能证据
SLC13A3	CURRENT150	True	1	succinate	0.1360591215477282	0.0740718113892663	27.0	18.0				1.0	FUNCTION_MODEL_DETAIL_PENDING	肿瘤-巨噬细胞;模型谱待核对：摘要未确认具体乳腺模型；此衣康酸关系不等于CAMP当前映射底物	保留候选；患者未显著或缺测不取消功能证据
SLC22A2	CURRENT150	True	3	choline;creatinine;1-methylnicotinamide	-0.0407537320708242	0.2162354581551671	19.0	26.0				3.0	NO_CURATED_BREAST_SELF_PERTURBATION_THIS_PASS	NA	保留候选；患者未显著或缺测不取消功能证据
SLC22A4	CURRENT150	True	1	stachydrine	0.0799414618599378	0.4895757675355372	21.0	24.0				0.0	NO_CURATED_BREAST_SELF_PERTURBATION_THIS_PASS	NA	保留候选；患者未显著或缺测不取消功能证据
SLC25A10	CURRENT150	True	1	succinate	0.1019305261667406	0.3930621294361407	23.0	22.0				1.0	FUNCTION_MODEL_DETAIL_PENDING	慢性循环低氧;肿瘤模型待核对：乳腺患者生存证据不等于乳腺模型直接干预；全文未取得	保留候选；患者未显著或缺测不取消功能证据
SLC25A20	CURRENT150	True	2	palmitoylcarnitine;propionylcarnitine	-0.5669573449518149	1.765611973135385e-05	10.0	35.0				1.0	NO_CURATED_BREAST_SELF_PERTURBATION_THIS_PASS	NA	保留候选；患者未显著或缺测不取消功能证据
SLC29A2	CURRENT150	True	6	uracil;nicotinamide;adenosine;guanine;hypoxanthine;inosine	0.2402321339564808	0.0021985729875567	32.0	13.0				5.0	NO_CURATED_BREAST_SELF_PERTURBATION_THIS_PASS	NA	保留候选；患者未显著或缺测不取消功能证据
SLC47A1	CURRENT150	True	1	creatinine	-0.0199924951310163	0.8897624385623824	20.0	25.0				1.0	BRCA_DRUG_TRANSPORT_CONTEXT	MDA-MB-436及其他癌细胞：涉及药物摄取敏感性，非当前肌酐异常的功能解释	保留候选；患者未显著或缺测不取消功能证据
SLC47A2	CURRENT150	True	1	creatinine	-0.0245989341765371	0.5155725466894571	19.0	26.0				1.0	ASSOCIATION_NOT_SELF_PERTURBATION	19癌细胞系;非乳腺专属：未证明SLC47A2自身干预；不能借用为直接遗传功能支持	保留候选；患者未显著或缺测不取消功能证据
SLC5A10	CURRENT150	True	1	1,5-anhydroglucitol (1,5-AG)	0.0999529089167882	0.0016586259332647	31.0	14.0				0.0	NO_CURATED_BREAST_SELF_PERTURBATION_THIS_PASS	NA	保留候选；患者未显著或缺测不取消功能证据
SLC6A6	CURRENT150	False	1	taurine	0.5116518993967609	6.848934057744371e-07	38.0	7.0				0.0	有乳腺癌遗传干预报告	S099：补充了旧摘要仅过表达的认识；还存在非转运功能，不能归于唯一牛磺酸机制	保留候选；患者未显著或缺测不取消功能证据
SLC6A8	CURRENT150	False	1	creatine	-0.0329812243195316	0.8216380429596449	20.0	25.0		KEGG:C00300|SLC6A8		0.0	功能线索待方法/模型核定	S100：特定缺氧背景；不能外推所有乳腺癌	保留患者关联线索；逐关系比较效应、缺失及外部支持
SLC7A11	CURRENT150	False	2	glutamate;cystine	1.2809501595291426	1.6500923852239623e-09	44.0	1.0		KEGG:C00491|SLC7A11		0.0	有乳腺癌遗传干预报告	S101：治疗依赖；不能作为未治疗普遍依赖 | S102：SLC7A11与重链SLC3A2角色不同；不等于CAMP组织谷氨酸直接通量 | S103：疼痛终点不是证明缩瘤；公开扰动转录组可作为后续资源	保留患者关联线索；逐关系比较效应、缺失及外部支持
SOAT1	CURRENT150	False	1	cholesterol	0.2400752232621015	0.0606887659405543	28.0	17.0				0.0	有乳腺癌遗传干预报告	S104：限定FGFR背景；不能直接代表CAMP全部BRCA | S105：基因与药物证据分开；ER应激不是雌激素受体ER	保留候选；患者未显著或缺测不取消功能证据
SOAT2	CURRENT150	False	1	cholesterol	-0.0546034854866219	0.1724759945935412	17.0	28.0				0.0	本轮未取得适用干预报告	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	保留候选；患者未显著或缺测不取消功能证据
SORD	CURRENT150	False	2	fructose;sorbitol	0.8662007570137079	0.0001040209225129	34.0	11.0	KEGG:C00095|SORD			0.0	仅他癌或不适用乳腺癌	S121：研究对象不适用本轮BRCA功能确认	保留患者关联线索；逐关系比较效应、缺失及外部支持
SPHK1	CURRENT150	False	1	sphingosine	0.4150709114376373	0.0011790235969181	33.0	12.0				0.0	有干预但情境/方向分歧	S106：MDA-MB-435身份/谱系需独立核查；不依赖此系单独作BRCA结论；不能称普遍抗增殖 | S107：与2019增殖无效结果不同，可能与模型/培养条件有关	保留候选；患者未显著或缺测不取消功能证据
SPHK2	CURRENT150	False	1	sphingosine	0.1148621634238855	0.0003984512391916	34.0	11.0				0.0	有乳腺癌遗传干预报告	S108：宿主/基质效应，不是肿瘤细胞单培养依赖 | S109：细胞静止和凋亡不是同一终点；HCT116不是乳腺癌	保留候选；患者未显著或缺测不取消功能证据
SQLE	CURRENT150	False	1	squalene	1.2560884895186306	2.200344802852242e-08	41.0	4.0				0.0	有乳腺癌遗传干预报告	S110：未证明CAMP角鲨烯丰度介导 | S111：保留旧版原始文献核查限定；不声称本轮全文重读	保留候选；患者未显著或缺测不取消功能证据
SUCLA2	CURRENT150	True	1	succinate	-0.6451199263099162	4.3621463030170496e-08	4.0	41.0				1.0	BRCA_GENETIC	MDA-MB231;MDA-MB468;脱附条件：乳腺细胞与肺癌小鼠实验分开；琥珀酸未变且补充不救援，提示非经典功能	保留候选；患者未显著或缺测不取消功能证据
SUCLG1	CURRENT150	True	1	succinate	-0.5027624465522206	1.0653930837639473e-06	9.0	36.0				1.0	BRCA_GENETIC_NULL_SPECIFIC_ENDPOINT	A549及MDA-MB231;脱附：只限定该研究终点；不是无任何生物学作用	保留候选；患者未显著或缺测不取消功能证据
SUCLG2	CURRENT150	True	1	succinate	-0.3106013115572844	6.971396502781257e-05	12.0	33.0				1.0	BRCA_GENETIC_NULL_SPECIFIC_ENDPOINT	A549及MDA-MB231;脱附：不能从同一复合体成员推断相同功能	保留候选；患者未显著或缺测不取消功能证据
TAT	CURRENT150	False	2	glutamate;4-hydroxyphenylpyruvate	-0.3488814725870827	0.5004463925820088	18.0	27.0				0.0	功能线索待方法/模型核定	S112：需确认TAT独立构建；diazinon为有毒化学物不可当临床推荐；原文亦承认验证不足	保留候选；患者未显著或缺测不取消功能证据
UPB1	CURRENT150	False	1	beta-alanine	0.0542077467361991	0.0913801210345001	27.0	18.0				0.0	本轮未取得适用干预报告	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	保留候选；患者未显著或缺测不取消功能证据
UPP1	CURRENT150	False	1	uracil	0.001931760021725	0.9871033518269848	23.0	22.0				0.0	有乳腺癌遗传干预报告	S113：主要来源中性粒细胞；bulk癌组织RNA不必强相关；无新CAMP因果验证	保留候选；患者未显著或缺测不取消功能证据
UPP2	CURRENT150	False	1	uracil	0.0293286761348755	0.4186196844502977	28.0	17.0				0.0	本轮未取得适用干预报告	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	保留候选；患者未显著或缺测不取消功能证据
