gene	aliases	query	status	hits	response_sha256	retrieved_utc	reason
SLC13A2	NADC1;SDCT1	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22NADC1%22+OR+TITLE_ABS%3A%22SDCT1%22%29&format=json&resultType=core&pageSize=3	DONE	0	6e412d2c1190b92c7ca1df88bf24551e18157eecba14dac82e20727bc48d9838	2026-09-20T11:34:43.769155+00:00	Alias retrieval only;not verified gene-specific intervention
SLC22A5	OCTN2	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22OCTN2%22%29&format=json&resultType=core&pageSize=3	DONE	1	ca95a0ff2cd1dd9aafe77fe494ae574b9d8c5ada22e5d38bcbe7fefce82e602c	2026-09-20T11:34:44.438965+00:00	Alias retrieval only;not verified gene-specific intervention
SLC22A7	NLT;OAT2	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22NLT%22+OR+TITLE_ABS%3A%22OAT2%22%29&format=json&resultType=core&pageSize=3	DONE	1	c137524d5e90d7f1c4a27fe0fef0566625557bbf1936460b827545cdbd2b2f5b	2026-09-20T11:34:45.235452+00:00	Alias retrieval only;not verified gene-specific intervention
SLC25A14	BMCP1;UCP5	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22BMCP1%22+OR+TITLE_ABS%3A%22UCP5%22%29&format=json&resultType=core&pageSize=3	DONE	3	ab13e1edf6d6eb4241d299e5d736b4a9d1d18d17c0a43847136753231b484a20	2026-09-20T11:34:45.909440+00:00	Alias retrieval only;not verified gene-specific intervention
SLC25A15	ORC1;ORNT1	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22ORC1%22+OR+TITLE_ABS%3A%22ORNT1%22%29&format=json&resultType=core&pageSize=3	DONE	0	e35712b63cb3f123f535a8b7107b1b0181985ca1a641961146d77a0e1a6e2882	2026-09-20T11:34:46.483913+00:00	Alias retrieval only;not verified gene-specific intervention
SLC25A17	PMP34	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22PMP34%22%29&format=json&resultType=core&pageSize=3	DONE	0	27c4c4627664637cea7c3a12101351cc64c6dd645d45219f49cde7902c1c5d84	2026-09-20T11:34:47.199720+00:00	Alias retrieval only;not verified gene-specific intervention
SLC25A2	ORC2;ORNT2	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22ORC2%22+OR+TITLE_ABS%3A%22ORNT2%22%29&format=json&resultType=core&pageSize=3	DONE	1	df99c48a195a939f3a2459ff4e2b23f994704bc787809ec53cbefd2bb3741a00	2026-09-20T11:34:48.164279+00:00	Alias retrieval only;not verified gene-specific intervention
SLC25A21	ODC	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22ODC%22%29&format=json&resultType=core&pageSize=3	DONE	73	db3edca43e6a2825e10030ffaa1fcb5fbde51a35e566749e4d209c525fcbb91e	2026-09-20T11:34:48.531795+00:00	Alias retrieval only;not verified gene-specific intervention
SLC25A36	NA	NA	NOT_EVALUABLE	NA	NA	2026-09-20T11:34:49.479221+00:00	No reviewed aliases available;absence of hits is not no function
SLC25A47	C14orf68;HDMCP	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22C14orf68%22+OR+TITLE_ABS%3A%22HDMCP%22%29&format=json&resultType=core&pageSize=3	DONE	0	4598cbdbe350344d15f08ec46ec5e92c41098f2db3d6f3e94fec5baa2dc9602d	2026-09-20T11:34:49.479221+00:00	Alias retrieval only;not verified gene-specific intervention
SLC28A2	CNT2	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22CNT2%22%29&format=json&resultType=core&pageSize=3	DONE	1	d39f5d1a79eb402943f23a8e70da307004cdcd1bc1e48a98264ca496bced5bf1	2026-09-20T11:34:50.421647+00:00	Alias retrieval only;not verified gene-specific intervention
SLC35G1	C10orf60;POST;TMEM20	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22C10orf60%22+OR+TITLE_ABS%3A%22POST%22+OR+TITLE_ABS%3A%22TMEM20%22%29&format=json&resultType=core&pageSize=3	DONE	10943	1c6f12a0f3bd56db4c6b1b46e817125cbf5f077360e7e2a8592c7565f022e9d2	2026-09-20T11:34:52.055833+00:00	Alias retrieval only;not verified gene-specific intervention
SLC36A4	PAT4	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22PAT4%22%29&format=json&resultType=core&pageSize=3	DONE	0	3c0052c76c8760920e9b83d98577ae55f1c9e17513c27fb7e89973701c60a798	2026-09-20T11:34:52.194304+00:00	Alias retrieval only;not verified gene-specific intervention
SLC38A7	SNAT7	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22SNAT7%22%29&format=json&resultType=core&pageSize=3	DONE	1	eeda42d412e8448cb9a13b7200812be99b338df7c33485b2c255a8a8e4ecce53	2026-09-20T11:34:52.415759+00:00	Alias retrieval only;not verified gene-specific intervention
SLC43A1	LAT3;PB39;POV1	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22LAT3%22+OR+TITLE_ABS%3A%22PB39%22+OR+TITLE_ABS%3A%22POV1%22%29&format=json&resultType=core&pageSize=3	DONE	1	6fe67d78fe7c19fe1a2d137bccc41f0ac1df2c1b49f1f453c38552f39cee7cbf	2026-09-20T11:34:54.170798+00:00	Alias retrieval only;not verified gene-specific intervention
SLC7A3	ATRC3;CAT3	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22ATRC3%22+OR+TITLE_ABS%3A%22CAT3%22%29&format=json&resultType=core&pageSize=3	DONE	1	3dc0daca78e5dcb74aba8d4305a883139c1838a9ed8eb83b1452239ea5a0b580	2026-09-20T11:34:54.244202+00:00	Alias retrieval only;not verified gene-specific intervention
SLC7A9	BAT1	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22BAT1%22%29&format=json&resultType=core&pageSize=3	DONE	2	a282636b03b2ea1ad2757c1e1e63365fe7729340756baebeb2d31693e21615e9	2026-09-20T11:34:54.548624+00:00	Alias retrieval only;not verified gene-specific intervention
TK2	NA	NA	NOT_EVALUABLE	NA	NA	2026-09-20T11:34:56.114143+00:00	No reviewed aliases available;absence of hits is not no function
TMEM86A	NA	NA	NOT_EVALUABLE	NA	NA	2026-09-20T11:34:56.114143+00:00	No reviewed aliases available;absence of hits is not no function
WARS1	IFI53;WARS;WRS	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22IFI53%22+OR+TITLE_ABS%3A%22WARS%22+OR+TITLE_ABS%3A%22WRS%22%29&format=json&resultType=core&pageSize=3	DONE	23	6c524dc52ccff6ba4cd4bbd35fbf20d008ec7df66d7aef8f07e316fa10d5861c	2026-09-20T11:34:56.114143+00:00	Alias retrieval only;not verified gene-specific intervention
WARS2	NA	NA	NOT_EVALUABLE	NA	NA	2026-09-20T11:34:56.365561+00:00	No reviewed aliases available;absence of hits is not no function
