gene	source	article_id	pmid	pmcid	doi	title	year	url	text_mentions_perturbation	text_mentions_metabolism	text_mentions_PDCA_model	evidence_status	intervention_direction	metabolite_or_flux_measured	rescue	opposing_result	reading_depth
ASNS	MED	39378065	39378065	PMC11572257	10.1080/14796694.2024.2395235	CASPER: A Phase I trial combining calaspargase pegol-mnkl and cobimetinib in pancreatic cancer.	2024	https://europepmc.org/article/MED/39378065	False	False	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ASNS	PPR	PPR565087			10.1101/2022.10.31.514261	Glutamine mimicry suppresses tumor progression through asparagine metabolism in pancreatic ductal adenocarcinoma	2022	https://europepmc.org/article/PPR/PPR565087	False	True	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
BAAT	MED	39707318	39707318	PMC11662532	10.1186/s12967-024-05922-0	Conjugated bile acids alleviate acute pancreatitis through inhibition of TGR5 and NLRP3 mediated inflammation.	2024	https://europepmc.org/article/MED/39707318	True	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
BCAT2	MED	32029896	32029896		10.1038/s41556-019-0455-6	BCAT2-mediated BCAA catabolism is critical for development of pancreatic ductal adenocarcinoma.	2020	https://europepmc.org/article/MED/32029896	True	True	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
BCAT2	MED	35663242	35663242	PMC9154341	10.1093/nsr/nwab212	Diet high in branched-chain amino acid promotes PDAC development by USP1-mediated BCAT2 stabilization.	2022	https://europepmc.org/article/MED/35663242	False	True	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
BCAT2	MED	41716286	41716286	PMC12913542	10.3389/fcell.2026.1712076	Branched-chain amino acid transaminases as promising targets in tumor therapy.	2026	https://europepmc.org/article/MED/41716286	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
BCAT2	MED	42016580	42016580		10.1039/d6md00019c	Discovery of novel BCAT2 inhibitors: design, synthesis, &lt;i&gt;in vitro&lt;/i&gt; evaluation, and molecular modeling studies.	2026	https://europepmc.org/article/MED/42016580	False	True	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
BCAT2	PPR	PPR1036332			10.1101/2025.06.10.658925	Opposing effects of systemic and pancreas-specific inhibition of BCKDK on pancreatic carcinogenesis	2025	https://europepmc.org/article/PPR/PPR1036332	True	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
BDH2	MED	30643007	30643007	PMC6418400	10.1042/bsr20181937	LncRNA TP73-AS1 sponges miR-141-3p to promote the migration and invasion of pancreatic cancer cells through the up-regulation of BDH2.	2019	https://europepmc.org/article/MED/30643007	True	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
BEST2	MED	38143873	38143873	PMC10733776	10.1089/bioe.2022.0036	Endoplasmic Reticulum Calcium Mediates <i>Drosophila</i> Wing Development.	2023	https://europepmc.org/article/MED/38143873	True	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
BLVRA	MED	28198575	28198575		10.1002/cbin.10750	Tat-biliverdin reductase A protects INS-1 cells from human islet amyloid polypeptide-induced cytotoxicity by alleviating oxidative stress and ER stress.	2017	https://europepmc.org/article/MED/28198575	False	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CAD	MED	40546314	40546314	PMC12179663	10.1016/j.omton.2025.201006	Oncolytic adeno-immunotherapy improves allogeneic adoptive HER2.CAR-NK function against pancreatic ductal adenocarcinoma.	2025	https://europepmc.org/article/MED/40546314	False	False	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CAD	MED	40697063	40697063	PMC12626563	10.1097/js9.0000000000003048	Utility of a CAD model for estimation of vascular involvement and R0 resection in pancreatic ductal adenocarcinoma.	2025	https://europepmc.org/article/MED/40697063	False	False	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CAD	MED	41622045	41622045		10.1016/j.diii.2026.01.007	Artificial intelligence for early detection of pancreatic cancer in prediagnostic and diagnostic computed tomography examinations: A multicenter retrospective case-control study.	2026	https://europepmc.org/article/MED/41622045	False	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CAD	MED	42192263	42192263		10.1111/cyt.70092	What Are Computer-Assisted Methods Achieving in Fine-Needle Aspiration Cytology of the Pancreas? A Systematic Review and Meta-Analysis.	2026	https://europepmc.org/article/MED/42192263	False	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CAD	MED	42352511	42352511		10.3390/cancers18121980	Inpatient Outcomes of Pancreatic Cancer Surgery in Patients with Coronary Artery Disease.	2026	https://europepmc.org/article/MED/42352511	False	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CD38	MED	38608514	38608514	PMC11017281	10.1016/j.ebiom.2024.105098	Intratumoral CD38<sup>+</sup>CD19<sup>+</sup>B cells associate with poor clinical outcomes and immunosuppression in patients with pancreatic ductal adenocarcinoma.	2024	https://europepmc.org/article/MED/38608514	False	False	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CD38	MED	40121269	40121269	PMC11929765	10.1038/s42003-025-07897-0	ZDHHC9-mediated CD38 palmitoylation stabilizes CD38 expression and promotes pancreatic cancer growth.	2025	https://europepmc.org/article/MED/40121269	False	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CD38	MED	40863611	40863611	PMC12387240	10.3390/md23080294	Isolation and Purification of Novel Antioxidant Peptides from Mussel (&lt;i&gt;Mytilus edulis&lt;/i&gt;) Prepared by Marine &lt;i&gt;Bacillus velezensis&lt;/i&gt; Z-1 Protease.	2025	https://europepmc.org/article/MED/40863611	False	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CD38	MED	42091541	42091541		10.1248/yakushi.25-00172	[Function, Regeneration, and Proliferation of Pancreatic β-Cells Centered on NAD].	2026	https://europepmc.org/article/MED/42091541	False	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CD38	PPR	PPR1289688			10.64898/2026.07.28.741212	Three separate pancreatic acinar cell receptors employ different combinations of intracellular pathways to Ca  <sup>2+</sup>  signaling	2026	https://europepmc.org/article/PPR/PPR1289688	False	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CES1	MED	32817748	32817748	PMC7425065	10.1186/s12014-020-09293-8	Quantitative analysis of differentially expressed proteins in psoriasis vulgaris using tandem mass tags and parallel reaction monitoring.	2020	https://europepmc.org/article/MED/32817748	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CES1	MED	34078402	34078402	PMC8171034	10.1186/s12944-021-01476-y	Identification of prognostic lipid droplet-associated genes in pancreatic cancer patients via bioinformatics analysis.	2021	https://europepmc.org/article/MED/34078402	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CES1	MED	40650205	40650205	PMC12250105	10.3390/ijms26136420	Anticancer Activity of Roburic Acid: In Vitro and In Silico Investigation.	2025	https://europepmc.org/article/MED/40650205	False	True	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CES1	MED	42107507	42107507		10.1016/j.phrs.2026.108226	Daraxonrasib (RMC-6236) pharmacokinetics: impact of transporters and drug-metabolizing enzymes on a first-in-class pan-RAS molecular glue.	2026	https://europepmc.org/article/MED/42107507	False	True	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CES1	PPR	PPR181977			10.21203/rs.3.rs-25554/v2	Quantitative analysis of differentially expressed proteins in psoriasis vulgaris using tandem mass tags and parallel reaction monitoring	2020	https://europepmc.org/article/PPR/PPR181977	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CES2	MED	34971802	34971802	PMC8841288	10.1016/j.molmet.2021.101426	CES2 sustains HNF4α expression to promote pancreatic adenocarcinoma progression through an epoxide hydrolase-dependent regulatory loop.	2022	https://europepmc.org/article/MED/34971802	True	True	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CES2	MED	38265364	38265364		10.1021/acs.jmedchem.3c01850	Tight-Binding Small-Molecule Carboxylesterase 2 Inhibitors Reduce Intracellular Irinotecan Activation.	2024	https://europepmc.org/article/MED/38265364	False	False	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CES2	MED	41007761	41007761	PMC12467292	10.3390/biomedicines13092199	Proteomic Profiling of EUS-FNA Samples Differentiates Pancreatic Adenocarcinoma from Mass-Forming Chronic Pancreatitis.	2025	https://europepmc.org/article/MED/41007761	False	False	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CES2	MED	42043185	42043185		10.1021/acssensors.5c04552	Ratiometric Fluorescent Chemosensing for Predicting Response to Irinotecan-Based Therapies in Pancreatic Ductal Adenocarcinoma.	2026	https://europepmc.org/article/MED/42043185	False	True	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CES2	MED	42107507	42107507		10.1016/j.phrs.2026.108226	Daraxonrasib (RMC-6236) pharmacokinetics: impact of transporters and drug-metabolizing enzymes on a first-in-class pan-RAS molecular glue.	2026	https://europepmc.org/article/MED/42107507	False	True	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
COQ7	MED	32348957	32348957	PMC7274560	10.1530/ec-20-0103	Genetic background influences tumour development in heterozygous Men1 knockout mice.	2020	https://europepmc.org/article/MED/32348957	True	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CRAT	MED	25449168	25449168		10.1002/dmrr.2629	Discovery of novel vitamin D-regulated proteins in INS-1 cells: a proteomic approach.	2015	https://europepmc.org/article/MED/25449168	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CRAT	MED	32298772	32298772	PMC7225740	10.1016/j.molmet.2020.100993	A genetic screen identifies Crat as a regulator of pancreatic beta-cell insulin secretion.	2020	https://europepmc.org/article/MED/32298772	True	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CRAT	MED	40281115	40281115	PMC12032141	10.1038/s41598-025-99144-z	Identification of prognostic and therapeutic biomarkers associated with macrophage and lipid metabolism in pancreatic cancer.	2025	https://europepmc.org/article/MED/40281115	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CS	MED	41315260	41315260	PMC12663176	10.1038/s41467-025-65811-y	Deciphering the role of complement system genes in pancreatic cancer susceptibility and prognosis.	2025	https://europepmc.org/article/MED/41315260	False	False	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CS	MED	41990194	41990194		10.1080/10826068.2026.2654610	Optimization of chitosan-PEG-geranium oil nanoparticles and in-vitro studies on pancreatic ductal adenocarcinoma.	2026	https://europepmc.org/article/MED/41990194	False	False	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CS	MED	42001719	42001719		10.1016/j.bbrc.2026.153774	Chondroitinase ABC enhances trastuzumab activity via cell-surface chondroitin sulfate cleavage in pancreatic cancer cells.	2026	https://europepmc.org/article/MED/42001719	False	False	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CS	MED	42081099	42081099		10.1007/s00535-026-02432-2	Conversion surgery for unresectable pancreatic ductal adenocarcinoma with liver metastasis at initial diagnosis: a nationwide multicenter study.	2026	https://europepmc.org/article/MED/42081099	False	False	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CS	MED	42203843	42203843	PMC13490364	10.1038/s41698-026-01479-x	Polygenic scores for risk of pancreatic ductal adenocarcinoma: evaluation of novel and published models.	2026	https://europepmc.org/article/MED/42203843	False	False	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CTPS1	MED	26280109	26280109		10.1021/acs.molpharmaceut.5b00282	Quantitative Targeted Proteomics of Pancreatic Cancer: Deoxycytidine Kinase Protein Level Correlates to Progression-Free Survival of Patients Receiving Gemcitabine Treatment.	2015	https://europepmc.org/article/MED/26280109	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CTPS1	MED	32614608	32614608		10.1089/cbr.2020.3657	Downregulation of miR-125b-5p and Its Prospective Molecular Mechanism in Lung Squamous Cell Carcinoma.	2022	https://europepmc.org/article/MED/32614608	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CTPS1	MED	41239468	41239468	PMC12619236	10.1186/s12935-025-03984-8	INHBA promotes chemoresistance in pancreatic cancer by enhancing CTPS1 stability and mediating pyrimidine metabolism.	2025	https://europepmc.org/article/MED/41239468	True	True	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CYB5R3	MED	32180563	32180563	PMC7031142	10.1016/j.molmet.2019.12.008	Cyb5r3 links FoxO1-dependent mitochondrial dysfunction with β-cell failure.	2020	https://europepmc.org/article/MED/32180563	True	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CYB5R3	MED	39675006	39675006		10.1016/j.celrep.2024.115057	Pancreatic β cell interleukin-22 receptor subunit alpha 1 deficiency impairs β cell function in type 2 diabetes via cytochrome b5 reductase 3.	2024	https://europepmc.org/article/MED/39675006	True	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
CYB5R3	PPR	PPR93098			10.1101/774364	Cyb5r3 links FoxO1-dependent mitochondrial dysfunction with β-cell failure	2019	https://europepmc.org/article/PPR/PPR93098	True	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
DCK	MED	36757299	36757299		10.1158/1541-7786.mcr-22-0554	MYC/Glutamine Dependency Is a Therapeutic Vulnerability in Pancreatic Cancer with Deoxycytidine Kinase Inactivation-Induced Gemcitabine Resistance.	2023	https://europepmc.org/article/MED/36757299	True	True	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
DCK	MED	37685961	37685961	PMC10487468	10.3390/ijms241713155	Targeting AHR Increases Pancreatic Cancer Cell Sensitivity to Gemcitabine through the ELAVL1-DCK Pathway.	2023	https://europepmc.org/article/MED/37685961	True	False	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
DCK	MED	38346958	38346958	PMC10861559	10.1038/s41419-024-06531-x	Deoxycytidine kinase inactivation enhances gemcitabine resistance and sensitizes mitochondrial metabolism interference in pancreatic cancer.	2024	https://europepmc.org/article/MED/38346958	True	True	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
DCK	MED	39947435	39947435		10.1016/j.bcp.2025.116798	Small-molecule inhibitor BAY synergizes with gemcitabine through AHR inhibition in pancreatic cancer cells.	2025	https://europepmc.org/article/MED/39947435	False	False	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
DCK	MED	42220058	42220058		10.1002/bcp.70611	Pharmacogenomic profiling of the efficacy of gemcitabine monotherapy in metastatic pancreatic cancer: Subgroup analysis of the GENESECT study.	2026	https://europepmc.org/article/MED/42220058	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
DCTD	MED	20028759	20028759	PMC2802655	10.1158/1078-0432.ccr-09-1555	Single nucleotide polymorphisms of gemcitabine metabolic genes and pancreatic cancer survival and drug toxicity.	2010	https://europepmc.org/article/MED/20028759	False	True	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
DCTD	MED	22838950	22838950		10.2217/pgs.12.82	Effect of genetic polymorphisms on therapeutic response and clinical outcomes in pancreatic cancer patients treated with gemcitabine.	2012	https://europepmc.org/article/MED/22838950	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
DCTD	MED	29523831	29523831	PMC5931097	10.1038/s41416-018-0005-1	Intratumoural expression of deoxycytidylate deaminase or ribonuceotide reductase subunit M1 expression are not related to survival in patients with resected pancreatic cancer given adjuvant chemotherapy.	2018	https://europepmc.org/article/MED/29523831	False	False	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
DCTD	MED	30889042	30889042	PMC6636684	10.1097/fpc.0000000000000375	An initial genetic analysis of gemcitabine-induced high-grade neutropenia in pancreatic cancer patients in CALGB 80303 (Alliance).	2019	https://europepmc.org/article/MED/30889042	False	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
DCTD	MED	40504152	40504152	PMC12184417	10.1073/pnas.2424409122	CDADC1 is a vertebrate-specific dCTP deaminase that metabolizes gemcitabine and decitabine to prevent cellular toxicity.	2025	https://europepmc.org/article/MED/40504152	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
DGAT1	MED	37566462	37566462		10.1089/jmf.2023.k.0008	<i>Garcinia mangostana</i> Suppresses Triacylglycerol Synthesis in Hepatocytes and Enterocytes.	2023	https://europepmc.org/article/MED/37566462	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
DGAT1	MED	40765822	40765822	PMC12320231	10.7150/ijbs.110750	FABP7-mediated lipid-laden macrophages drive the formation of pre-metastatic niche and liver metastasis.	2025	https://europepmc.org/article/MED/40765822	True	True	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
DGAT1	MED	41703753	41703753		10.1111/dom.70554	Integrated proteomic and phosphoproteomic profiling unravels an O-GlcNAc-dependent mechanism in DGAT1 inhibition-mediated protection of β-cells from lipotoxicity.	2026	https://europepmc.org/article/MED/41703753	False	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
DGAT1	MED	42350419	42350419	PMC13500556	10.1038/s41467-026-74315-2	Targeting DGAT1 reprograms lipid landscape and restores CD8⁺ T cell immunity in pancreatic cancer.	2026	https://europepmc.org/article/MED/42350419	False	True	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
DGAT1	PPR	PPR738322			10.21203/rs.3.rs-3407631/v1	FABP7-mediated lipid-laden macrophages drive liver metastasis through metabolic reprogramming of tumor cells and CD8+ T cells	2023	https://europepmc.org/article/PPR/PPR738322	True	True	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
DGAT2	MED	34078402	34078402	PMC8171034	10.1186/s12944-021-01476-y	Identification of prognostic lipid droplet-associated genes in pancreatic cancer patients via bioinformatics analysis.	2021	https://europepmc.org/article/MED/34078402	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
DGAT2	MED	36178594	36178594		10.1007/s10695-022-01120-1	Effects of supplemental ferulic acid (FA) on survival, growth performance, digestive enzyme activities, antioxidant capacity and lipid metabolism of large yellow croaker (Larimichthys crocea) larvae.	2022	https://europepmc.org/article/MED/36178594	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
DGAT2	MED	37566462	37566462		10.1089/jmf.2023.k.0008	<i>Garcinia mangostana</i> Suppresses Triacylglycerol Synthesis in Hepatocytes and Enterocytes.	2023	https://europepmc.org/article/MED/37566462	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
DGAT2	MED	39627016	39627016	PMC11614549	10.14814/phy2.70143	Intrauterine fetal growth restriction in sheep leads to sexually dimorphic programming of Preadipocytes' differentiation potential.	2024	https://europepmc.org/article/MED/39627016	False	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
