study_id	genes	original_source	original_model	original_intervention	original_endpoint	original_evidence_class	retrieval_status	reason	pmcid	accessions	dataset_design_verified
S078	PCYT2	https://pubmed.ncbi.nlm.nih.gov/22339418/	乳腺癌细胞血清不足/营养应激	营养干预、Pcyt2表达/磷酸化/活性检测	PE合成及Pcyt2活性提高	PATHWAY_CONTEXT_BRCA	NOT_EVALUABLE	no_PMC_fulltext_in_exact_record			False
S079	PCYT2	https://www.nature.com/articles/s41598-025-96405-9	SKOV3、OVCAR3卵巢癌	PCYT2敲低、AMPK/FOXO1通路抑制剂救援	迁移/侵袭改变	OTHER_CANCER_ONLY	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC11978741		False
S080	PEPD	https://pubmed.ncbi.nlm.nih.gov/38503142/	曲妥珠单抗耐药HER2+细胞、原位PDX、脑/肺病灶	外源重组PEPD G278D；HER2/EGFR siRNA检验靶点	抑制生长及相关转移病灶	NONCATALYTIC_PROTEIN_INTERVENTION_BRCA	ACCESS_BLOCKED	HTTPError:500 Server Error:  for url: https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11070302/fullTextXML	PMC11070302		False
S081	PEPD	https://pubmed.ncbi.nlm.nih.gov/42009845/	p95HER2、HER2+耐药细胞/PDX	PEPD G278D蛋白给药	相关PDX肿瘤消除/生长受抑	NONCATALYTIC_PROTEIN_INTERVENTION_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC13096466		False
S082	PFKL	https://doi.org/10.1021/acs.jmedchem.6c01360	乳腺癌细胞及体内肿瘤模型；具体系需全文核定	化合物10w；PFKL敲低背景靶点依赖检验；DARTS/SPR/CETSA/酶活	抑制糖酵解/增殖、诱导凋亡；增强anti-PD-L1效应	DRUG_GENETIC_ON_TARGET_BRCA	NOT_EVALUABLE	no_PMC_fulltext_in_exact_record			False
S083	PFKP	https://pubmed.ncbi.nlm.nih.gov/34751415/	MCF7、SK-BR-3、MDA-MB-231	PFKP敲低	三系增殖/侵袭下降；SK-BR-3和MDA-MB-231迁移下降	GENETIC_BRCA	NOT_EVALUABLE	no_PMC_fulltext_in_exact_record			False
S084	PFKP	https://link.springer.com/article/10.1186/s43556-026-00454-z	MDA-MB-231、SK-BR-3	shPFKP与过表达	CD133+干样细胞受PFKP调节、化疗耐受相关	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC13106758	E-MTAB-14538;GSE25055;GSE25065;GSE31448;GSE65194;GSE78958;GSE87049	False
S085	PGD	https://www.mdpi.com/2079-7737/10/2/85	MCF7	MCF7中6PGD/PGD siRNA敲低（方法章节2.2已检得）	增殖/球形成下降，周期阻滞/凋亡，葡萄糖耗用下降/谷氨酰胺耗用上升；ROS无明显变化	GENETIC_BRCA	NOT_EVALUABLE	source_has_no_resolvable_PMID_PMC_or_DOI			False
S086	PMM2	https://pubmed.ncbi.nlm.nih.gov/38266771/	ERα Y537S变异乳腺癌细胞	PMM2 siRNA/耗竭	ESR1/ERα与FOXA1下降、增殖抑制、部分内分泌/CDK4/6药物再敏感	GENETIC_BRCA	NOT_EVALUABLE	no_PMC_fulltext_in_exact_record			False
S087	PNP	https://pubmed.ncbi.nlm.nih.gov/41502507/	乳腺癌多细胞系、HER2相关背景	PNP沉默及HER2联合抑制	PNP沉默诱导HER2上升；联合比单独HER2抑制进一步降低活力	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC12774560		False
S088	PPA1	https://pubmed.ncbi.nlm.nih.gov/34595179/	乳腺癌细胞及体内模型，具体系待全文核对	PPA1沉默、过表达及PI3K抑制剂	增殖/转移表型及Slug-EMT受调节	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC8476924		False
S089	PRODH	https://pubmed.ncbi.nlm.nih.gov/28492237/	乳腺癌2D/3D；4T1、EMT6.5原位小鼠	PRODH抑制	3D生长、肺转移形成受抑	INTERVENTION_METHOD_PENDING	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC5437289	GSE14017;GSE20711	False
S090	PRODH	https://pubmed.ncbi.nlm.nih.gov/35163433/	MCF7	NSAIDs/PPARγ相关药物处理	PRODH升高与ROS依赖凋亡相关	DRUG_CONTEXT_BRCA_COUNTEREVIDENCE	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC8835909		False
S091	PRODH2	https://pubmed.ncbi.nlm.nih.gov/40749014/	MDA-MB-231/MCF7过表达；骨转移SCP2敲除；破骨细胞/体内骨转移	PRODH2过表达、KO及抑制剂	骨定植/破骨分化/铁死亡抵抗受调节；低附着存活未见同样差异	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC12580816	GSE2603;PRJNA1196790	False
S092	PYCR1	https://pubmed.ncbi.nlm.nih.gov/35760868/	乳腺癌CAF、正常成纤维对照、异种移植瘤	CAF中降低PYCR1	减少胶原、体内肿瘤生长和转移；CAF本身增殖未见相应明显下降	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC9236907	GSE90505;PXD018343;PXD024746	False
S093	PYCR1	https://pubmed.ncbi.nlm.nih.gov/37845207/	乳腺癌干性/心理应激模型	PYCR1消除/降低	抑制应激相关肿瘤生长和干性	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC10579265	GSE116180;GSE220931;SRP157974	False
S094	PYCR2	https://pubmed.ncbi.nlm.nih.gov/38101533/	乳腺癌细胞；具体系未在本轮摘要核定	PYCR2沉默，AKT通路分析	侵袭/转移能力降低	GENETIC_BRCA	NOT_EVALUABLE	no_PMC_fulltext_in_exact_record			False
S095	PYCR3	https://pubmed.ncbi.nlm.nih.gov/38642827/	TNBC细胞，具体系待全文核定	PYCR3 KO；mtDNA复制抑制模拟	增殖及多柔比星耐药降低，凋亡增加	GENETIC_BRCA	NOT_EVALUABLE	no_PMC_fulltext_in_exact_record			False
S096	SHMT1	https://pubmed.ncbi.nlm.nih.gov/41267037/	TNBC	ZNF526过表达/敲低，SHMT1下游调节	肿瘤生长及抗氧化表型改变	PATHWAY_CONTEXT_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC12632037		False
S097	SHMT2	https://pubmed.ncbi.nlm.nih.gov/35968337/	乳腺癌细胞/异种移植瘤	SHMT2敲低和过表达	体内外生长受调节；MAPK/VEGF相关	GENETIC_BRCA	ACCESS_BLOCKED	HTTPError:500 Server Error:  for url: https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9360240/fullTextXML	PMC9360240		False
S098	SHMT2	https://pubmed.ncbi.nlm.nih.gov/42378651/	TNBC模型	藤黄酸共价靶向SHMT2、化学蛋白组	线粒体障碍/铁死亡、抗肿瘤活性	DRUG_CONTEXT_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC13325921	GSE5460	False
S099	SLC6A6	https://www.mdpi.com/2073-4409/15/2/207	乳腺癌细胞/荷瘤小鼠；具体细胞系待方法核定	Slc6a6遗传敲低与过表达	敲低抑制增殖；过表达促进生长、降低凋亡	GENETIC_BRCA	NOT_EVALUABLE	source_has_no_resolvable_PMID_PMC_or_DOI			False
S100	SLC6A8	https://doi.org/10.1186/s13046-021-01933-7	缺氧TNBC模型	SLC6A8相关干预（具体构建见全文）	肌酸积累支持存活/抗凋亡，AKT/ERK及抗氧化改变	INTERVENTION_METHOD_PENDING	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC8120850	PRJNA708216	False
S101	SLC7A11	https://pubmed.ncbi.nlm.nih.gov/35252218/	ER+乳腺癌放疗背景	ESR1/SLC7A11敲低	增强放射诱导铁死亡	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC8888677		False
S102	SLC7A11	https://pubmed.ncbi.nlm.nih.gov/39833180/	MCF7、ZR-75-1	两条shRNA敲低；SLC7A11/SLC3A2过表达救援	抑制生长/克隆；过表达减弱ER阻断效应；铁死亡与内分泌敏感性相关	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC11756422	GSE128458;GSE144378;GSE159956;GSE173300;GSE18229;GSE25055;GSE26304	False
S103	SLC7A11	https://pubmed.ncbi.nlm.nih.gov/30799686/	MDA-MB-231稳定克隆、股骨接种小鼠	xCT/SLC7A11 siRNA稳定敲低	推迟疼痛行为；RNA-seq记录反应	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC6329019		False
S104	SOAT1	https://pubmed.ncbi.nlm.nih.gov/40665359/	FGFR驱动乳腺癌模型	SOAT1抑制及基因敲低	克隆/侵袭降低；体内肿瘤生长减少	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC12261779	GSE276731	False
S105	SOAT1	https://doi.org/10.1002/VIW.20240083	MDA-MB-231、BT549及乳腺癌异种移植	shSOAT1及avasimibe	增殖/迁移下降、周期阻滞、体内生长下降	GENETIC_BRCA	NOT_EVALUABLE	no_unique_exact_PMID_or_DOI_record			False
S106	SPHK1	https://aacrjournals.org/cancerres/article/79/16/4211/638205/Sphingosine-Kinase-1-Signaling-Promotes-Metastasis	BC3-p53KD PDX、Hs578T及文中MDA-MB-435；原位模型	两条shRNA、过表达；药物另评	敲低减少自发肺转移/迁移侵袭；所测三系体外增殖无显著改变	GENETIC_BRCA	NOT_EVALUABLE	source_has_no_resolvable_PMID_PMC_or_DOI			False
S107	SPHK1	https://pubmed.ncbi.nlm.nih.gov/32260399/	HCC38、MDA-MB-468干样/非干样细胞；MCF7等表达背景	独立shRNA、过表达；FTY720/PF543另列	敲低增殖下降/凋亡上升；过表达提高球形成	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC7226795		False
S108	SPHK2	https://aacrjournals.org/cancerres/article/83/4/553/716438/Sphingosine-Kinase-2-in-Stromal-Fibroblasts	基质成纤维细胞及E0771乳腺癌小鼠	宿主SphK2删除/抑制	抑制促肿瘤CAF状态及肿瘤生长	GENETIC_BRCA	NOT_EVALUABLE	source_has_no_resolvable_PMID_PMC_or_DOI			False
S109	SPHK2	https://pubmed.ncbi.nlm.nih.gov/17974990/	MCF7及p53失活MCF7；另有HCT116非BRCA	SPHK2 siRNA，多柔比星背景	p21与G2/M阻滞下降，但药物诱导凋亡增强	GENETIC_BRCA	NOT_EVALUABLE	no_PMC_fulltext_in_exact_record			False
S110	SQLE	https://pubmed.ncbi.nlm.nih.gov/29765154/	乳腺癌细胞，具体系待全文核定	SQLE敲低及SQLE过表达救援CASIMO1敲低	SQLE敲低模拟生长抑制，回补逆转	GENETIC_BRCA	NOT_EVALUABLE	no_PMC_fulltext_in_exact_record			False
S111	SQLE	https://www.nature.com/articles/srep19435	SQLE表达阳性乳腺癌系；MDA-MB-231低表达阴性背景	SQLE沉默及药物	表达阳性模型生长受抑，低表达背景不出现同样效应	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC4726025	GSE71395	False
S112	TAT	https://www.mdpi.com/2218-273X/14/9/1088	乳腺癌/TNBC细胞背景	DNMT3A/3B调节及diazinon处理	TAT上调伴生长抑制，周期/DNA修复改变	PATHWAY_CONTEXT_BRCA	NOT_EVALUABLE	source_has_no_resolvable_PMID_PMC_or_DOI			False
S113	UPP1	https://pubmed.ncbi.nlm.nih.gov/40702342/	乳腺肿瘤小鼠、中性粒细胞、肺转移前微环境；另有患者样本	UPP1敲除/抑制	肺T细胞增加、纤维连接蛋白减少、肺转移发生比例降低	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC12420820	GSE139125;GSE263963;GSE292202;GSE292203;GSE292205;GSE33113	False
S114	GOT1;GOT2	https://pmc.ncbi.nlm.nih.gov/articles/PMC4696069/	SUM149中单独/联合siRNA；药物实验另包括SUM159、MCF-7、MDA-MB-231及小鼠模型	GOT1/GOT2单独或联合敲低；AOA为另行评估的广谱转氨酶抑制剂	敲低影响SUM149增殖，并部分逆转AOA细胞毒性；存在酶间代偿；药物在部分移植瘤有效	GENETIC_BRCA	ACCESS_BLOCKED	HTTPError:500 Server Error:  for url: https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4696069/fullTextXML	PMC4696069		False
S115	GPCPD1	https://link.springer.com/article/10.1186/s13046-022-02578-w	ER阴性/HER2阳性HCC1954等；包括HER2治疗耐受背景	siRNA及诱导shRNA；双嘧达莫药物单独区分	遗传抑制降低细胞存活/克隆及相应模型肿瘤生长	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC9854078	GSE16446;GSE19615;GSE28844;GSE32646;GSE6532;GSE9195	False
S116	PGM3	https://pubmed.ncbi.nlm.nih.gov/29515119/	MDA-MB-231等乳腺癌细胞；MDA-MB-231裸鼠移植瘤	FR054药物；shPGM3增加FR054敏感性；CETSA辅助靶点结合	FR054抑制生长并诱导凋亡、降低黏附/迁移；shPGM3药敏结果不能改写成单独基因敲除已完成肿瘤控制	DRUG_GENETIC_ON_TARGET_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC5841296		False
S117	NAGK	https://pubmed.ncbi.nlm.nih.gov/29515119/	MDA-MB-231	NAGK抑制剂与FR054联用	NAGK抑制减弱FR054诱导凋亡；不是NAGK抑制本身已证实抗肿瘤	DRUG_CONTEXT_BRCA_COUNTEREVIDENCE	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC5841296		False
S118	MPI	https://pmc.ncbi.nlm.nih.gov/articles/PMC12934312/	包含MPI-KO MDA-MB-231；主机制还使用HT1080等非乳腺癌模型	MPI基因敲除后分别限制甘露糖或葡萄糖	MDA-MB-231等MPI-KO细胞在甘露糖剥夺下仍耐受；葡萄糖剥夺效应依模型不同	GENETIC_BRCA_COUNTEREVIDENCE	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC12934312	PXD066382	False
S119	GSS	https://advanced.onlinelibrary.wiley.com/doi/10.1002/advs.202500722	乳腺癌细胞；本次提取段落未逐一确认该子实验细胞系	GLO1过表达背景中耗减GSS	GSS耗减逆转GLO1导致的VEGFA蛋白增加；GLO1稳定GSS	GENETIC_MOLECULAR_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC12407353	GSE161529;GSE167036;GSE180286;GSE21653;GSE225600;GSE9893	False
S120	GSR	https://pmc.ncbi.nlm.nih.gov/articles/PMC8275107/	宫颈癌模型，非乳腺癌GSR干预	Stattic和GSR相关实验	不作为本轮乳腺癌功能支持	OTHER_CANCER_ONLY	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC8275107		False
S121	SORD	https://pmc.ncbi.nlm.nih.gov/articles/PMC12552132/	结直肠癌，非乳腺癌	旧表记录直接干预，未在本轮重新读取全文	保留跨癌线索；不作为乳腺癌直接功能支持	OTHER_CANCER_ONLY	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC12552132	GSE14297;GSE35834;GSE41258;GSE49355;PRJNA1284926	False
S122	RFK	https://www.researchsquare.com/article/rs-7709970/v1	题名指TNBC；未以一手全文核定具体模型	待一手预印本核查，不能由聚合摘要直接确证	仅登记相关预印本线索，不计入已核实遗传功能支持	PREPRINT_ACCESS_BLOCKED	NOT_EVALUABLE	source_has_no_resolvable_PMID_PMC_or_DOI			False
