metabolite_name	metabolite_key	selected_paired_P_lt_005	paired_P	paired_q	up_pairs	down_pairs	equal_pairs	both_observed_pairs	original_effect	original_q	mapping_state	direct_relations	conditional_relations	unresolved_relations	identity_status	identity_note	legacy_feature	genes
cytidine 5'-monophosphate (5'-CMP)	KEGG:C00055	True	0.017909331692240696	0.03273084757547438	11	22	0	33	-0.568550324207397	0.0539757777143879	HAS_DIRECT_RELATIONS	29	0	7	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	ADPRM;AK4;AK9;ASMTL;CDIPT;CEPT1;CHPT1;CMPK1;CMPK2;CRLS1;ENPP1;ENPP3;ENTPD1;ENTPD3;ENTPD5;NT5C2;NT5C3A;NT5C3B;NT5E;PGS1;SELENOI;SLC25A36;SLC35A1;SLC35A2;ST6GALNAC3;ST6GALNAC4;UCK1;UCK2;UCKL1
triethanolamine	KEGG:C06771	True	4.174619343439777e-05	0.00023705874128818733	4	25	4	23	-0.763394607391977	0.00205315909153294	CONDITIONAL_IDENTITY	0	0	0	HOLD_EXPOSURE_OR_ANNOTATION_REVIEW	名称与 KEGG 一致，原注释/暴露来源需核查；不自动当作内源代谢物映射。	True	NA
malonate	KEGG:C00383	True	0.0020306384450003404	0.00512494464690562	3	21	9	23	-0.300205658965365	0.139266731582772	HAS_DIRECT_RELATIONS	7	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	ACOT8;ACSF3;SLC25A10;SLC25A11;SLC25A14;SLC25A30;UCP2
Phthalate	KEGG:C01606	True	0.00035503938074694154	0.0012010906710375256	3	21	9	22	-0.607579272336491	0.0104274039204103	CONDITIONAL_IDENTITY	0	0	0	HOLD_EXPOSURE_OR_ANNOTATION_REVIEW	名称与 KEGG 一致，原注释/暴露来源需核查；不自动当作内源代谢物映射。	True	NA
N-acetylneuraminate	KEGG:C00270	True	0.00036436716452989236	0.0012069662325052684	7	26	0	33	-0.914050093379568	0.000927728383719889	HAS_DIRECT_RELATIONS	5	1	2	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	NANP;NEU2;NEU3;NEU4;SLC17A5
ribulose/xylulose 5-phosphate	KEGG:C00199	True	5.18642191075362e-05	0.00026601325284187927	4	29	0	33	-1.38855897890463	2.1849625495186e-06	CONDITIONAL_IDENTITY	0	9	0	HOLD_COMBINED_FEATURE	原名合并 ribulose/xylulose，原 KEGG 仅 ribulose。两个假设不拆成两条独立测量或检验。	True	NA
azelate (nonanedioate)	KEGG:C08261	True	0.01565848334220057	0.029290574722469303	8	22	3	27	-0.383174360489904	0.0277131462125493	HAS_DIRECT_RELATIONS	1	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ABHD3
urea	KEGG:C00086	True	7.110442835794288e-07	1.806440826697348e-05	1	32	0	33	-0.857440071272848	0.00191710763837069	HAS_DIRECT_RELATIONS	9	0	1	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	AGMAT;AQP10;AQP3;AQP7;AQP9;ARG1;ARG2;SLC14A1;SLC14A2
glutarate (C5-DC)	KEGG:C00489	True	0.0047496512171545735	0.010345130733254482	6	26	1	30	-0.378058922306145	0.12185706354843	CONDITIONAL_IDENTITY	0	9	0	HOLD_NAME_CLASS_CONFLICT	Glutarate annotation and C5-DC acylcarnitine-style label require original identity confirmation; not interchangeable.	False	NA
creatinine	KEGG:C00791	True	6.484785739349568e-07	1.806440826697348e-05	1	32	0	33	-1.21647722662822	2.15403529632938e-06	HAS_DIRECT_RELATIONS	4	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	SLC22A2;SLC22A7;SLC47A1;SLC47A2
glutamine	KEGG:C00064	True	2.976463631587499e-06	3.380412267302945e-05	4	29	0	33	-1.18517818312271	1.53194804029879e-05	HAS_DIRECT_RELATIONS	35	1	1	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ASNS;BEST2;CAD;CTPS1;CTPS2;GFPT1;GFPT2;GLS;GLS2;GLUL;GMPS;KYAT1;NADSYN1;PFAS;PPAT;QARS1;QRSL1;SLC1A5;SLC38A1;SLC38A10;SLC38A2;SLC38A3;SLC38A4;SLC38A6;SLC38A7;SLC38A8;SLC38A9;SLC6A14;SLC6A15;SLC6A17;SLC6A19;SLC7A13;SLC7A5;SLC7A6;SLC7A8
Acetohydroxamate	KEGG:C06808	True	0.01971375711025402	0.03561917477875442	5	28	0	28	-0.521320132255297	1.51302088736128e-05	CONDITIONAL_IDENTITY	0	0	0	HOLD_EXPOSURE_OR_ANNOTATION_REVIEW	名称可对应 acetohydroxamic acid；先核对外源背景/原注释，不将药理靶点当作代谢关系。	True	NA
guanosine	KEGG:C00387	True	8.782118560905848e-05	0.00035804021825231537	6	27	0	33	-1.10566416561374	7.94549647812405e-05	HAS_DIRECT_RELATIONS	11	0	6	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ENPP3;LACC1;NT5C2;NT5E;PNP;SLC22A7;SLC28A2;SLC28A3;SLC29A1;SLC29A2;SLC29A3
phosphoenolpyruvate (PEP)	KEGG:C00074	True	0.004681835234144671	0.010339052808736149	9	21	3	25	-0.681593834380287	0.00582518324469414	HAS_DIRECT_RELATIONS	11	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ENO1;ENO2;ENO3;ENO4;NANS;PCK1;PCK2;PKLR;PKM;SLC25A1;SLC25A35
cis-aconitate	KEGG:C00417	True	5.3686202226740976e-05	0.0002667533173141192	4	28	1	30	-0.8353983577876	0.000307793700547115	HAS_DIRECT_RELATIONS	2	0	2	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ACOD1;SLC25A1
glycerophosphorylcholine (GPC)	KEGG:C00670	True	0.0009181299027220289	0.00256109920232987	8	25	0	33	-0.671891137099271	0.0113140364356053	HAS_DIRECT_RELATIONS	10	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	GDPD5;GPCPD1;LYPLA1;LYPLA2;PLA2G15;PLB1;PNPLA6;PNPLA7;TMEM86A;TMEM86B
6-phosphogluconate	KEGG:C00345	True	0.0034847323382247116	0.008030035388083032	10	23	0	32	-0.641702243769376	0.0291207682154118	HAS_DIRECT_RELATIONS	4	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	H6PD;IDNK;PGD;PGLS
carnosine	KEGG:C00386	True	0.0009028823434238286	0.00256109920232987	5	24	4	25	-0.552013685316796	0.0303181418621276	HAS_DIRECT_RELATIONS	8	0	1	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	CARNMT1;CARNS1;CNDP1;SLC15A1;SLC15A2;SLC15A3;SLC15A4;SLC22A15
piperidine	KEGG:C01746	True	0.0012026870288842505	0.0032411396202134887	8	18	7	13	-0.512287320612044	0.152967058675906	NO_DIRECT_HIT_IN_SCOPED_SEARCH	0	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	NA
allantoin	KEGG:C02350	True	0.0006659979173404972	0.0019609938677247972	3	29	1	26	-1.13251050393184	2.75917060479647e-06	HAS_DIRECT_RELATIONS	1	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。 原名未标手性，KEGG 为 (S)-allantoin；无对应人类反应也不表示不存在非酶生成。	True	URAD
inosine 5'-monophosphate (IMP)	KEGG:C00130	True	6.511611887852214e-05	0.00031374130005106123	5	28	0	33	-0.889251406041119	0.00103594092695614	HAS_DIRECT_RELATIONS	23	0	6	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ADSS1;ADSS2;AMPD1;AMPD2;AMPD3;ATIC;CANT1;ENTPD1;ENTPD3;ENTPD5;ENTPD6;GMPR;GMPR2;HPRT1;IMPDH1;IMPDH2;ITPA;NT5C;NT5C1A;NT5C2;NT5E;NUDT16;SLC25A36
pelargonate (9:0)	KEGG:C01601	True	0.0020976124386958965	0.005211255902385118	3	18	12	20	-0.35654035768113	0.0796319838549086	HAS_DIRECT_RELATIONS	4	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	ABHD3;ALDH1B1;ALDH3B1;ALDH7A1
3PG	KEGG:C00197	True	1.7560560082939785e-06	2.147791579374943e-05	3	30	0	33	-1.62220266413497	2.50033886118489e-07	HAS_DIRECT_RELATIONS	9	0	2	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	BPGM;GLYCTK;PGAM1;PGAM2;PGAM4;PGK1;PGK2;PGM2L1;PHGDH
citrate	KEGG:C00158	True	2.7894715873627007e-05	0.00018480249266277892	4	29	0	33	-1.08156774149304	4.64513926849744e-06	HAS_DIRECT_RELATIONS	12	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ACLY;ACO1;ACO2;ANKH;CS;RIMKLB;SFXN5;SLC13A2;SLC13A5;SLC25A1;SLC25A14;SLC25A21
dihydroxyacetone phosphate (DHAP)	KEGG:C00111	True	0.0013399868070180538	0.003492752496981484	9	24	0	33	-0.920687204019363	0.00208970754081866	HAS_DIRECT_RELATIONS	9	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ALDOA;ALDOB;ALDOC;GNPAT;GPD1;GPD1L;GPD2;TKFC;TPI1
N-acetylaspartate (NAA)	KEGG:C01042	True	3.859027284068544e-06	3.8349083635431156e-05	3	30	0	33	-1.60890842089475	4.01049322955914e-08	HAS_DIRECT_RELATIONS	6	0	1	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ABCC5;ASPA;NAT8L;RIMKLA;RIMKLB;SLC13A3
gluconate	KEGG:C00257	True	0.009345420962008471	0.018809138391890468	10	22	1	29	-0.429281259521108	0.168968959284748	HAS_DIRECT_RELATIONS	5	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	IDNK;PANX1;PANX2;RGN;SLC26A7
guanine	KEGG:C00242	True	0.014303043516311568	0.02773395023284804	10	22	1	28	-0.589713633659115	0.00340110367227365	HAS_DIRECT_RELATIONS	8	1	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	GDA;HPRT1;LACC1;PNP;SLC29A1;SLC29A2;SLC29A3;SLC43A3
ophthalmate	HMDB:HMDB05765	True	8.782118560905848e-05	0.00035804021825231537	5	28	0	32	-0.853784378285622	0.000312736900370037	CONDITIONAL_RELATIONS_ONLY	0	1	0	PROVISIONAL_NEW_KEGG_ID	原表仅 HMDB；本次按 ophthalmate 独立名称检索得到 C21016。尚未完成原 HMDB 交叉核验。	True	NA
urate	KEGG:C00366	True	7.110442835794288e-07	1.806440826697348e-05	2	31	0	33	-1.38171846699428	3.03664852373543e-06	HAS_DIRECT_RELATIONS	14	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ABCC4;ABCG2;SLC17A1;SLC17A2;SLC17A3;SLC17A4;SLC22A12;SLC22A7;SLC22A8;SLC23A1;SLC29A2;SLC29A3;SLC2A2;XDH
isocitrate	KEGG:C00311	True	0.0002598153012516883	0.000918014064422632	3	19	11	9	-0.94049325537887	0.000701295206824154	CONDITIONAL_RELATIONS_ONLY	0	5	2	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	NA
4-methyl-2-oxopentanoate	KEGG:C00233	True	3.5149630812742274e-06	3.725860866150681e-05	1	28	4	15	-1.47479797958175	2.22833094147422e-06	HAS_DIRECT_RELATIONS	7	2	2	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	AADAT;BCAT1;BCAT2;LDHD;SLC16A1;SLC16A7;SLC5A8
histamine	KEGG:C00388	True	2.5778479828681036e-05	0.0001782077518591428	5	28	0	33	-1.21651078686213	4.5885636815329e-06	HAS_DIRECT_RELATIONS	8	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	AOC1;HDC;HNMT;SLC18A2;SLC22A1;SLC22A2;SLC22A3;SLC29A4
adenosine	KEGG:C00212	True	9.766128730249252e-06	8.626747045053505e-05	6	27	0	33	-1.43361692283717	3.68444811809424e-06	HAS_DIRECT_RELATIONS	17	0	7	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ADA;ADA2;ADK;AHCY;ENPP3;LACC1;NT5C1A;NT5C1B;NT5C2;NT5E;SLC28A1;SLC28A2;SLC28A3;SLC29A1;SLC29A2;SLC29A3;SLC29A4
Mucate	KEGG:C01807	True	3.307877015483619e-05	0.00020228940210072902	5	27	1	31	-1.07306834400398	0.000171933865206755	CONDITIONAL_IDENTITY	0	0	0	HOLD_ORIGINAL_ENTRY_NOT_RETURNED	原 C01807 在本次 KEGG get 批量响应中未返回；名称检索得到 galactarate/mucic acid C00879，仅作替代假设。	True	NA
Disulfiram	KEGG:C01692	True	5.91235537322886e-07	1.806440826697348e-05	1	32	0	33	-2.02409833924531	1.46718920051068e-08	CONDITIONAL_IDENTITY	0	0	0	HOLD_EXPOSURE_OR_ANNOTATION_REVIEW	名称与 KEGG 一致，但应核对外源暴露或原始注释。药物抑制靶点不等于直接生成/消耗该测量物的酶。	True	NA
acetylcholine	KEGG:C01996	True	0.00019660170178038939	0.0007269690833274863	4	27	2	23	-1.26417215547317	3.03664852373543e-06	HAS_DIRECT_RELATIONS	7	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ACHE;CHAT;SLC18A3;SLC22A1;SLC22A2;SLC22A4;VDAC1
2-phosphoglycerate	KEGG:C00631	True	1.2280378206640874e-05	9.762900674279494e-05	2	25	6	11	-1.44511128689612	2.1849625495186e-06	HAS_DIRECT_RELATIONS	9	0	1	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	BPGM;ENO1;ENO2;ENO3;ENO4;MINPP1;PGAM1;PGAM2;PGAM4
glucose	KEGG:C00031	True	5.388790737562247e-07	1.806440826697348e-05	0	33	0	29	-2.46828093548679	7.02371971133023e-10	HAS_DIRECT_RELATIONS	34	2	5	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ADPGK;B4GALT1;B4GALT2;G6PC1;G6PC2;G6PC3;GBA1;GBA2;GBA3;GCK;H6PD;HK1;HK2;HK3;HKDC1;LCT;MGAM;SI;SLC2A1;SLC2A10;SLC2A11;SLC2A12;SLC2A14;SLC2A2;SLC2A3;SLC2A4;SLC2A7;SLC2A8;SLC45A1;SLC45A2;SLC5A1;SLC5A11;SLC5A2;SLC60A2
serotonin (5HT)	KEGG:C00780	True	1.1741945398998534e-06	1.866969318440767e-05	0	31	2	16	-2.57675115041992	5.92017690328805e-10	HAS_DIRECT_RELATIONS	12	0	6	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	DDC;MAOA;SLC18A1;SLC18A2;SLC18A3;SLC18B1;SLC22A1;SLC22A2;SLC22A3;SLC29A3;SLC29A4;SLC6A4
