cancer	gene	direct_metabolites	imported_functional_class	imported_work_priority	patient_evidence	original_best_q	receiver_source_cautions	next_minimal_action	study_ids	source_urls
BRCA	PFKL	fructose-6-phosphate	药物结合遗传靶点检验	保留	本轮ER关联未过0.05；不以此排除功能价值	0.052725	No additional issue identified within limited receipt checks;not a clean bill for all literature	区分药物10w和PFKL单独扰动，全文核查F6P读数与安全边界	S082	https://doi.org/10.1021/acs.jmedchem.6c01360
BRCA	PFKM	fructose-6-phosphate	本轮未取得适用干预报告	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.2100857142857142	No additional issue identified within limited receipt checks;not a clean bill for all literature	与PFKL/PFKP分开，不共享家族功能结论		
BRCA	PFKP	fructose-6-phosphate	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.2635842857142857	No additional issue identified within limited receipt checks;not a clean bill for all literature	常规靶点重复增量有限，只有具体背景再深入	S083; S084	"https://pubmed.ncbi.nlm.nih.gov/34751415/
https://link.springer.com/article/10.1186/s43556-026-00454-z"
BRCA	PGD	6-phosphogluconate	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.9141844311377246	No additional issue identified within limited receipt checks;not a clean bill for all literature	区分6PGD/PGD与G6PD；不默认氧化还原机制	S085	https://www.mdpi.com/2079-7737/10/2/85
BRCA	PGM3	N-acetylglucosamine 6-phosphate	药物结合遗传靶点检验	保留	本轮ER关联未过0.05；不以此排除功能价值	0.0693	No additional issue identified within limited receipt checks;not a clean bill for all literature	先区别基因单独依赖与药物敏感化，不把前药作用归为唯一机制	S116	https://pubmed.ncbi.nlm.nih.gov/29515119/
BRCA	PMM1	mannose 6-phosphate	本轮未取得适用干预报告	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.1367999999999999	No additional issue identified within limited receipt checks;not a clean bill for all literature	不将PMM2/ESR1突变证据转给PMM1		
BRCA	PMM2	mannose 6-phosphate	有乳腺癌遗传干预报告	优先核查	本轮ER关联未过0.05；不以此排除功能价值	0.0884739130434782	No additional issue identified within limited receipt checks;not a clean bill for all literature	先核查可获取的突变分层或扰动数据；不重做未分型总体相关	S086	https://pubmed.ncbi.nlm.nih.gov/38266771/
BRCA	PNP	guanine; hypoxanthine; inosine	有乳腺癌遗传干预报告	保留	仅可用性子集过阈值，不能选择性替代ER主分析	0.0171	No additional issue identified within limited receipt checks;not a clean bill for all literature	区分PNP沉默后HER2补偿；不要再把显著代谢物误写为肌苷	S087	https://pubmed.ncbi.nlm.nih.gov/41502507/
BRCA	PPA1	phosphate; pyrophosphate (PPi)	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.089775	No additional issue identified within limited receipt checks;not a clean bill for all literature	只在直接反应与调控机制有新问题时深入	S088	https://pubmed.ncbi.nlm.nih.gov/34595179/
BRCA	PPA2	phosphate; pyrophosphate (PPi)	本轮未取得适用干预报告	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.334305	No additional issue identified within limited receipt checks;not a clean bill for all literature	与胞质PPA1及线粒体区室分开		
BRCA	PRODH	proline	功能线索待方法/模型核定	保留	本轮ER关联未过0.05；不以此排除功能价值	0.8987240506329114	No additional issue identified within limited receipt checks;not a clean bill for all literature	先核实2017遗传/药物方法，比较2D/3D及营养条件	S089; S090	"https://pubmed.ncbi.nlm.nih.gov/28492237/
https://pubmed.ncbi.nlm.nih.gov/35163433/"
BRCA	PRODH2	trans-4-hydroxyproline	有乳腺癌遗传干预报告	优先核查	本轮ER关联未过0.05；不以此排除功能价值	0.8839384615384615	No additional issue identified within limited receipt checks;not a clean bill for all literature	查独立骨转移患者/公开扰动支持；不照搬已发表SLC7A11/IL8机制	S091	https://pubmed.ncbi.nlm.nih.gov/40749014/
BRCA	PYCR1	proline	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.0966807692307692	该更正只修正一位作者姓氏拼写。	使用更正后的题录；不因这项姓名更正降低实验结论等级。	S092; S093	"https://pubmed.ncbi.nlm.nih.gov/35760868/
https://pubmed.ncbi.nlm.nih.gov/37845207/"
BRCA	PYCR2	proline	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.8288042553191489	No additional issue identified within limited receipt checks;not a clean bill for all literature	补具体模型与脯氨酸读数，避免仅AKT关联代替代谢机制	S094	https://pubmed.ncbi.nlm.nih.gov/38101533/
BRCA	PYCR3	proline	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.263725352112676	No additional issue identified within limited receipt checks;not a clean bill for all literature	先查干预公开数据和蛋白定位；与PYCR1/2分别判断	S095	https://pubmed.ncbi.nlm.nih.gov/38642827/
BRCA	RBKS	ribose	本轮未取得适用干预报告	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.4895090909090909	No additional issue identified within limited receipt checks;not a clean bill for all literature	核糖补充/核苷酸通路不等于RBKS作用		
BRCA	RFK	riboflavin (Vitamin B2)	一手访问受阻的预印本线索	优先核查	本轮ER关联未过0.05；不以此排除功能价值	0.3290653846153846	No additional issue identified within limited receipt checks;not a clean bill for all literature	先取得一手全文/发表状态，当前不计为已核实遗传功能	S122	https://www.researchsquare.com/article/rs-7709970/v1
BRCA	SHMT1	glycine; serine	功能线索待方法/模型核定	优先核查	本轮ER关联未过0.05；不以此排除功能价值	0.1342090909090909	No additional issue identified within limited receipt checks;not a clean bill for all literature	明确SHMT1构建和终点，别转用SHMT2功能	S096	https://pubmed.ncbi.nlm.nih.gov/41267037/
BRCA	SHMT2	glycine; serine	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.3290653846153846	No additional issue identified within limited receipt checks;not a clean bill for all literature	区分单碳催化、MAPK/VEGF和药物铁死亡，核查代谢介导	S097; S098	"https://pubmed.ncbi.nlm.nih.gov/35968337/
https://pubmed.ncbi.nlm.nih.gov/42378651/"
BRCA	SLC6A6	taurine	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.3813697674418605	No additional issue identified within limited receipt checks;not a clean bill for all literature	牛磺酸转运和Rprd1b非转运功能分开；不称全新代谢轴	S099	https://www.mdpi.com/2073-4409/15/2/207
BRCA	SLC6A8	creatine	功能线索待方法/模型核定	优先核查	本轮ER关联未过0.05；不以此排除功能价值	0.334305	No additional issue identified within limited receipt checks;not a clean bill for all literature	先补方法和营养条件，不把肌酸补充等同转运体单独作用	S100	https://doi.org/10.1186/s13046-021-01933-7
BRCA	SLC7A11	glutamate; cystine	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.0466363636363636	No additional issue identified within limited receipt checks;not a clean bill for all literature	对应CAMP的是谷氨酸关联；公开xCT扰动可用但不等于缩瘤	S101; S102; S103	"https://pubmed.ncbi.nlm.nih.gov/35252218/
https://pubmed.ncbi.nlm.nih.gov/39833180/
https://pubmed.ncbi.nlm.nih.gov/30799686/"
BRCA	SOAT1	cholesterol	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.48556875	No additional issue identified within limited receipt checks;not a clean bill for all literature	区分游离胆固醇、胆固醇酯和药物；有特定背景再深入	S104; S105	"https://pubmed.ncbi.nlm.nih.gov/40665359/
https://doi.org/10.1002/VIW.20240083"
BRCA	SOAT2	cholesterol	本轮未取得适用干预报告	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.09234	No additional issue identified within limited receipt checks;not a clean bill for all literature	不能借SOAT1结果，也不能混淆旧称ACAT2的另一基因		
BRCA	SORD	fructose; sorbitol	仅他癌或不适用乳腺癌	暂挂	本轮ER关联未过0.05；不以此排除功能价值；果糖n从61到45，效应减弱；山梨醇子集近零	0.0427499999999999	No additional issue identified within limited receipt checks;not a clean bill for all literature	保留候选，但暂不扩展BRCA靶点故事，先取得适用功能证据	S121	https://pmc.ncbi.nlm.nih.gov/articles/PMC12552132/
BRCA	SPHK1	sphingosine	有干预但情境/方向分歧	保留	本轮ER关联未过0.05；不以此排除功能价值	0.2100857142857142	No additional issue identified within limited receipt checks;not a clean bill for all literature	保留2019增殖无效/2020增殖有效对照，避免依赖MDA-MB-435单独结论	S106; S107	"https://aacrjournals.org/cancerres/article/79/16/4211/638205/Sphingosine-Kinase-1-Signaling-Promotes-Metastasis
https://pubmed.ncbi.nlm.nih.gov/32260399/"
BRCA	SPHK2	sphingosine	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.13145625	No additional issue identified within limited receipt checks;not a clean bill for all literature	先分细胞区室，不把全部效应归为肿瘤细胞酶依赖	S108; S109	"https://aacrjournals.org/cancerres/article/83/4/553/716438/Sphingosine-Kinase-2-in-Stromal-Fibroblasts
https://pubmed.ncbi.nlm.nih.gov/17974990/"
BRCA	SQLE	squalene	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.8638331125827815	No additional issue identified within limited receipt checks;not a clean bill for all literature	不因角鲨烯↓/SQLE↑就证明通量；寻找新背景而非重复靶点	S110; S111	"https://pubmed.ncbi.nlm.nih.gov/29765154/
https://www.nature.com/articles/srep19435"
BRCA	TAT	glutamate; tyrosine; 4-hydroxyphenylpyruvate	功能线索待方法/模型核定	优先核查	本轮ER关联未过0.05；不以此排除功能价值	0.2220241935483871	No additional issue identified within limited receipt checks;not a clean bill for all literature	逐图核查直接遗传证据；不把有毒diazinon当可用治疗	S112	https://www.mdpi.com/2218-273X/14/9/1088
BRCA	UPB1	beta-alanine	本轮未取得适用干预报告	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.218655737704918	No additional issue identified within limited receipt checks;not a clean bill for all literature	保留β-丙氨酸关系，不用风险签名代替功能		
BRCA	UPP1	uracil	有乳腺癌遗传干预报告	优先核查	本轮ER关联未过0.05；不以此排除功能价值	0.5494112068965517	原文使用全身Upp1缺失；肺转移发生比例下降，但原发瘤负担与临床终点时间无改变；中性粒细胞特异敲除及其整条转移链条并未完成。	按免疫/肺转移背景使用；不能写成已完成中性粒细胞特异因果验证或普遍原发瘤抑制。	S113	https://pubmed.ncbi.nlm.nih.gov/40702342/
BRCA	UPP2	uracil	本轮未取得适用干预报告	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.0800590909090909	No additional issue identified within limited receipt checks;not a clean bill for all literature	UPP1功能不得转移给UPP2；保留尿嘧啶关系		
