cancer	study_id	genes	source_url	pmid	doi	canonical_title	status	publication_types	linked_notices	statistical_unit	n_patient	new_patient_tests
BRCA	S089	PRODH	https://pubmed.ncbi.nlm.nih.gov/28492237/	28492237	10.1038/ncomms15267	Proline metabolism supports metastasis formation and could be inhibited to selectively target metastasizing cancer cells.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;research-article;Journal Article	[]	publication_record	NA	0
BRCA	S090	PRODH	https://pubmed.ncbi.nlm.nih.gov/35163433/	35163433	10.3390/ijms23031510	Nonsteroidal Anti-Inflammatory Drugs as PPARγ Agonists Can Induce PRODH/POX-Dependent Apoptosis in Breast Cancer Cells: New Alternative Pathway in NSAID-Induced Apoptosis.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	[]	publication_record	NA	0
BRCA	S091	PRODH2	https://pubmed.ncbi.nlm.nih.gov/40749014/	40749014	10.1158/0008-5472.can-24-4391	PRODH2-Mediated Metabolism in the Bone Microenvironment Promotes Breast Cancer Metastasis.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;research-article;Journal Article	[]	publication_record	NA	0
BRCA	S092	PYCR1	https://pubmed.ncbi.nlm.nih.gov/35760868/	35760868	10.1038/s42255-022-00582-0	Cancer-associated fibroblasts require proline synthesis by PYCR1 for the deposition of pro-tumorigenic extracellular matrix.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;research-article;Journal Article	"[{""source"": ""MED"", ""id"": ""35927357"", ""reference"": ""Nat Metab. 2022 Aug;4(8):1084. doi: 10.1038/s42255-022-00632-7."", ""type"": ""Erratum in"", ""orderIn"": 1}]"	publication_record	NA	0
BRCA	S093	PYCR1	https://pubmed.ncbi.nlm.nih.gov/37845207/	37845207	10.1038/s41419-023-06200-5	Pyrroline-5-carboxylate reductase 1 reprograms proline metabolism to drive breast cancer stemness under psychological stress.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;research-article;Journal Article	[]	publication_record	NA	0
BRCA	S094	PYCR2	https://pubmed.ncbi.nlm.nih.gov/38101533/	38101533	10.1016/j.biocel.2023.106506	PYCR2, induced by c-Myc, promotes the invasiveness and metastasis of breast cancer by activating AKT signalling pathway.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;Journal Article	[]	publication_record	NA	0
BRCA	S095	PYCR3	https://pubmed.ncbi.nlm.nih.gov/38642827/	38642827	10.1016/j.biocel.2024.106581	PYCR3 modulates mtDNA copy number to drive proliferation and doxorubicin resistance in triple-negative breast cancer.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;Journal Article	[]	publication_record	NA	0
BRCA	S096	SHMT1	https://pubmed.ncbi.nlm.nih.gov/41267037/	41267037	10.1186/s12943-025-02503-7	ZNF526 drives tumor growth by enhancing SHMT1-dependent serine metabolism and antioxidant capability in TNBC.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	[]	publication_record	NA	0
BRCA	S097	SHMT2	https://pubmed.ncbi.nlm.nih.gov/35968337/	35968337	NA	SHMT2 promotes tumor growth through VEGF and MAPK signaling pathway in breast cancer.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	[]	publication_record	NA	0
BRCA	S098	SHMT2	https://pubmed.ncbi.nlm.nih.gov/42378651/	42378651	10.1002/advs.202520252	Covalent Inhibition of SHMT2 by Gambogic Acid Induces Ferroptosis Through Mitochondrial Collapse in Triple-Negative Breast Cancer.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	[]	publication_record	NA	0
BRCA	S099	SLC6A6	https://www.mdpi.com/2073-4409/15/2/207	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S100	SLC6A8	https://doi.org/10.1186/s13046-021-01933-7	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S101	SLC7A11	https://pubmed.ncbi.nlm.nih.gov/35252218/	35252218	10.3389/fcell.2021.772380	The Dual Regulation Effects of ESR1/NEDD4L on SLC7A11 in Breast Cancer Under Ionizing Radiation.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	[]	publication_record	NA	0
BRCA	S102	SLC7A11	https://pubmed.ncbi.nlm.nih.gov/39833180/	39833180	10.1038/s41419-025-07354-0	Targeting estrogen-regulated system x<sub>c</sub><sup>-</sup> promotes ferroptosis and endocrine sensitivity of ER+ breast cancer.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	[]	publication_record	NA	0
BRCA	S103	SLC7A11	https://pubmed.ncbi.nlm.nih.gov/30799686/	30799686	10.1177/1744806918822185	xCT knockdown in human breast cancer cells delays onset of cancer-induced bone pain.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;research-article;Journal Article	[]	publication_record	NA	0
BRCA	S104	SOAT1	https://pubmed.ncbi.nlm.nih.gov/40665359/	40665359	10.1186/s13058-025-02084-9	Fibroblast growth factor receptor signaling modulates cholesterol storage in a SOAT1-dependent manner to promote mammary tumor cell invasion.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	[]	publication_record	NA	0
BRCA	S105	SOAT1	https://doi.org/10.1002/VIW.20240083	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S106	SPHK1	https://aacrjournals.org/cancerres/article/79/16/4211/638205/Sphingosine-Kinase-1-Signaling-Promotes-Metastasis	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S107	SPHK1	https://pubmed.ncbi.nlm.nih.gov/32260399/	32260399	10.3390/cells9040886	Sphingosine Kinase 1 Regulates the Survival of Breast Cancer Stem Cells and Non-stem Breast Cancer Cells by Suppression of STAT1.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;research-article;Journal Article	[]	publication_record	NA	0
BRCA	S108	SPHK2	https://aacrjournals.org/cancerres/article/83/4/553/716438/Sphingosine-Kinase-2-in-Stromal-Fibroblasts	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S109	SPHK2	https://pubmed.ncbi.nlm.nih.gov/17974990/	17974990	10.1158/0008-5472.can-07-2090	Involvement of sphingosine kinase 2 in p53-independent induction of p21 by the chemotherapeutic drug doxorubicin.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, N.I.H., Intramural;Research Support, U.S. Gov't, Non-P.H.S.;Journal Article;Research Support, N.I.H., Extramural	[]	publication_record	NA	0
BRCA	S110	SQLE	https://pubmed.ncbi.nlm.nih.gov/29765154/	29765154	10.1038/s41388-018-0281-5	The cancer-associated microprotein CASIMO1 controls cell proliferation and interacts with squalene epoxidase modulating lipid droplet formation.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;Journal Article	[]	publication_record	NA	0
BRCA	S111	SQLE	https://www.nature.com/articles/srep19435	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S112	TAT	https://www.mdpi.com/2218-273X/14/9/1088	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S113	UPP1	https://pubmed.ncbi.nlm.nih.gov/40702342/	40702342	10.1038/s44319-025-00520-7	Uridine phosphorylase-1 supports metastasis by altering immune and extracellular matrix landscapes.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	[]	publication_record	NA	0
BRCA	S114	GOT1; GOT2	https://pmc.ncbi.nlm.nih.gov/articles/PMC4696069/	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S115	GPCPD1	https://link.springer.com/article/10.1186/s13046-022-02578-w	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S116	PGM3	https://pubmed.ncbi.nlm.nih.gov/29515119/	29515119	10.1038/s41419-018-0405-4	Inhibition of the Hexosamine Biosynthetic Pathway by targeting PGM3 causes breast cancer growth arrest and apoptosis.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;research-article;Journal Article	[]	publication_record	NA	0
BRCA	S117	NAGK	https://pubmed.ncbi.nlm.nih.gov/29515119/	29515119	10.1038/s41419-018-0405-4	Inhibition of the Hexosamine Biosynthetic Pathway by targeting PGM3 causes breast cancer growth arrest and apoptosis.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;research-article;Journal Article	[]	publication_record	NA	0
BRCA	S118	MPI	https://pmc.ncbi.nlm.nih.gov/articles/PMC12934312/	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S119	GSS	https://advanced.onlinelibrary.wiley.com/doi/10.1002/advs.202500722	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S120	GSR	https://pmc.ncbi.nlm.nih.gov/articles/PMC8275107/	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S121	SORD	https://pmc.ncbi.nlm.nih.gov/articles/PMC12552132/	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S122	RFK	https://www.researchsquare.com/article/rs-7709970/v1	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
