基因	本轮定位	CAMP直接代谢物及方向	CAMP原未调关联（逐关系）	FUSCC原关联（逐关系）	Tang原关联（逐关系）	Tang可评估性	GSE42568肿瘤减正常log2差	GSE42568 RNA q	既有功能类别（未新增文献审核）	既有功能摘要	既有功能限制	既有细胞背景	本轮逐病例留出	本轮矛盾及缺项	本轮下一步范围	历史工作优先级（未重排）	历史最小工作（非新任务）	功能来源
CRAT	保留原候选池；本轮未专项重评	octanoylcarnitine (C8)(升高); butyrylcarnitine(升高)	"octanoylcarnitine (C8): ρ=0.04345; q=0.8627
butyrylcarnitine: ρ=0.2278; q=0.2101"	"octanoylcarnitine (C8): ρ=未测/不可评估; q=未测/不可评估
butyrylcarnitine: ρ=未测/不可评估; q=未测/不可评估"	"octanoylcarnitine (C8): ρ=未测/不可评估; q=未测/不可评估
butyrylcarnitine: ρ=-0.3414; q=0.5383"	PARTIAL	-0.1108610043727384	0.6922791512928751	功能线索待方法/模型核定	S029（2026）：CRAT表达在部分模型随AR抑制降低；T47D短时响应不同	S029：AR药物不是CRAT专一功能实验；题录卷期2026/在线2025	Wu: Malignant_epithelial; Pal: Malignant_epithelial; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	暂挂	先取得CRAT基因特异干预；不因Enzalutamide有效就记CRAT有效	https://academic.oup.com/endo/article/167/1/bqaf168/8320418
CROT	保留原候选池；本轮未专项重评	octanoylcarnitine (C8)(升高)	octanoylcarnitine (C8): ρ=0.2098; q=0.249	octanoylcarnitine (C8): ρ=未测/不可评估; q=未测/不可评估	octanoylcarnitine (C8): ρ=未测/不可评估; q=未测/不可评估	NOT_EVALUABLE	0.4746722065526016	1.3764928264903338e-05	本轮未取得适用干预报告	已进行该基因定向检索；本轮未取得足以归属乳腺癌的基因特异功能来源。不是证明该基因无作用。	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	Wu: Malignant_epithelial; Pal: Malignant_epithelial; 稳定标记: True	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	暂挂	保留肉碱关系，关注区室/底物与CRAT区别	NA
CS	保留原候选池；本轮未专项重评	citrate(升高)	citrate: ρ=-0.1888; q=0.3183	citrate: ρ=-0.0232; q=1	citrate: ρ=-0.1774; q=0.8154	DONE	-1.1906699620226249	0.0033483059792769	有乳腺癌遗传干预报告	S027（2023）：CS和/或FH恢复可逆转MAEL促恶性行为；氧化磷酸化—糖酵解转换	S027：救援背景不同于单基因普遍抑癌；不把CS活性观测当CS敲除	Wu: Malignant_epithelial; Pal: Malignant_epithelial; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	保留	核查独立CS构建和代谢物读数，排除CS缩写噪声	https://pubmed.ncbi.nlm.nih.gov/36866961/
CTNS	保留原候选池；本轮未专项重评	cystine(升高)	cystine: ρ=0.07469; q=0.7334	cystine: ρ=-0.09101; q=0.5017	cystine: ρ=-0.2064; q=0.779	DONE	-0.0651005352188924	0.6587493947556872	功能线索待方法/模型核定	S028（2023）：CTNS介导释放参与GSH维持；MFSD12突变抑制肿瘤	S028：不能把MFSD12干预产生的肿瘤结果全部算CTNS抑制效果	Wu: Myeloid; Pal: Myeloid; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	优先核查	直接定位CTNS而不是MFSD12的扰动终点与GSH读数	https://pubmed.ncbi.nlm.nih.gov/37751742/
DPYD	保留原候选池；本轮未专项重评	uracil(升高); 5,6-dihydrouracil(升高)	"uracil: ρ=-0.264; q=0.1612
5,6-dihydrouracil: ρ=0.01798; q=0.9134"	"uracil: ρ=0.06355; q=0.6933
5,6-dihydrouracil: ρ=0.06563; q=0.6933"	"uracil: ρ=0.04812; q=0.9491
5,6-dihydrouracil: ρ=-0.2046; q=0.779"	DONE	-0.0461756424451351	0.3835990914559948	功能线索待方法/模型核定	S030（2013）：53BP1影响5-FU敏感性；TS和DPYD为相关下游	S030：主要干预是53BP1；不能全部归为DPYD特异扰动	Wu: Myeloid; Pal: Myeloid; 稳定标记: True	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	保留	先查基因本体操作；不把53BP1下游改变当DPYD独立抗癌	https://pubmed.ncbi.nlm.nih.gov/24040364/
DPYS	保留原候选池；本轮未专项重评	5,6-dihydrouracil(升高)	5,6-dihydrouracil: ρ=-0.2782; q=0.1406	5,6-dihydrouracil: ρ=-0.02659; q=1	5,6-dihydrouracil: ρ=-0.0686; q=0.9242	DONE	-0.0074150180831442	0.8958638654934802	本轮未取得适用干预报告	已进行该基因定向检索；本轮未取得足以归属乳腺癌的基因特异功能来源。不是证明该基因无作用。	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	Wu: Fibroblasts; Pal: Fibroblasts; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	暂挂	保留二氢尿嘧啶关系；药物代谢/毒性资料不能当肿瘤依赖	NA
ETNK1	保留原候选池；本轮未专项重评	ethanolamine(升高); phosphoethanolamine(升高)	"ethanolamine: ρ=0.3842; q=0.0418
phosphoethanolamine: ρ=0.1727; q=0.3768"	"ethanolamine: ρ=未测/不可评估; q=未测/不可评估
phosphoethanolamine: ρ=0.1677; q=0.05551"	"ethanolamine: ρ=-0.4451; q=0.3822
phosphoethanolamine: ρ=0.2481; q=0.7078"	DONE	0.5836056530031097	1.3438909032871056e-05	有干预但情境/方向分歧	S031（2024）：方法、结果和结论对干预方向有内部不一致 | S032（2026）：ETNK1降低逆转CTX对存活、铁死亡与自噬的作用，体内外均报告	S031：需全文图和构建核查，不能给抑制/恢复方向 | S032：治疗条件下支持ETNK1参与；不是ETNK1抑制可普遍抗肿瘤。与2024研究作者单位相近，不计独立患者验证	Wu: Nonmalignant_epithelial; Pal: Endothelial; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	优先核查	逐图核定两文构建与处理；本轮暂不赋予普适抑制/激活方向	"https://pubmed.ncbi.nlm.nih.gov/38694857/
https://pubmed.ncbi.nlm.nih.gov/42003071/"
ETNK2	保留原候选池；本轮未专项重评	ethanolamine(升高); phosphoethanolamine(升高)	"ethanolamine: ρ=0.1689; q=0.3831
phosphoethanolamine: ρ=0.2154; q=0.2478"	"ethanolamine: ρ=未测/不可评估; q=未测/不可评估
phosphoethanolamine: ρ=-0.05078; q=0.8444"	"ethanolamine: ρ=-0.185; q=0.8069
phosphoethanolamine: ρ=0.2782; q=0.633"	DONE	0.8898618568110859	2.5851705904242232e-05	本轮未取得适用干预报告	已进行该基因定向检索；本轮未取得足以归属乳腺癌的基因特异功能来源。不是证明该基因无作用。	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	Wu: Malignant_epithelial; Pal: Malignant_epithelial; 稳定标记: True	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	暂挂	保留两条代谢关系，核查ETNK2特异乳腺癌研究	NA
FDFT1	保留原候选池；本轮未专项重评	squalene(降低)	squalene: ρ=-0.06292; q=0.7799	squalene: ρ=未测/不可评估; q=未测/不可评估	squalene: ρ=未测/不可评估; q=未测/不可评估	NOT_EVALUABLE	-1.3073887706634624	0.0009546846372838	有干预但情境/方向分歧	S033（2024）：敲低诱导凋亡；过表达部分救援ATT；NEDD4/TNFR1/NF-kB相关 | S034（2025）：图注明确FDFT1降低促进增殖并抑制铁死亡 | S035（2025）：FDFT1敲低逆转THEM6诱导的卡铂敏感性；铁死亡背景	S033：类器官不是临床有效性；药物安全不能外推；其他TNBC研究出现相反背景 | S034：与2024敲低诱导凋亡结论存在模型/条件矛盾；不择优忽略 | S035：特定THEM6和卡铂背景；非普遍FDFT1单基因依赖	Wu: Nonmalignant_epithelial; Pal: Malignant_epithelial; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	优先核查	按细胞系、药物、救援和营养背景核对，不给统一抑制方向	"https://pubmed.ncbi.nlm.nih.gov/39461203/
https://pmc.ncbi.nlm.nih.gov/articles/PMC12116638/
https://pubmed.ncbi.nlm.nih.gov/40619388/"
FH	保留原候选池；本轮未专项重评	malate(升高)	malate: ρ=0.3041; q=0.1057	malate: ρ=0.2074; q=0.0174	malate: ρ=0.2346; q=0.7302	DONE	-0.4360304596832582	0.0220132710143884	有干预但情境/方向分歧	S027（2023）：CS和/或FH恢复可逆转MAEL促恶性行为；氧化磷酸化—糖酵解转换 | S036（2025）：过表达增强增殖/迁移/侵袭，敲低降低；p21/MMP1及ROS联系	S027：救援背景不同于单基因普遍抑癌；不把CS活性观测当CS敲除 | S036：与MAEL研究中恢复FH逆转恶性行为的结果存在情境差异；不能只贴肿瘤抑制或促癌标签	Wu: Malignant_epithelial; Pal: Malignant_epithelial; 稳定标记: True	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	优先核查	比较独立构建、剂量、代谢区室及ROS背景，先解释冲突	"https://pubmed.ncbi.nlm.nih.gov/36866961/
https://link.springer.com/article/10.1186/s40170-025-00397-z"
FOLH1	保留原候选池；本轮未专项重评	glutamate(升高); gamma-glutamylglutamate(升高); N-acetyl-aspartyl-glutamate (NAAG)(升高)	"glutamate: ρ=0.211; q=0.2592
gamma-glutamylglutamate: ρ=-0.08633; q=0.6803
N-acetyl-aspartyl-glutamate (NAAG): ρ=-0.02257; q=0.8993"	"glutamate: ρ=-0.1883; q=0.03364
gamma-glutamylglutamate: ρ=-0.0985; q=0.4876
N-acetyl-aspartyl-glutamate (NAAG): ρ=0.2464; q=0.00348"	"glutamate: ρ=0.5684; q=0.1711
gamma-glutamylglutamate: ρ=0.4226; q=0.4179
N-acetyl-aspartyl-glutamate (NAAG): ρ=0.2264; q=0.7302"	DONE	-0.1241094468914032	0.2521652626757793	观察性或非基因特异背景	S037（2024）：基底样高表达与结局相关，提出放射性药物靶向可能	S037：靶向递送抗原不等于代谢酶依赖；本次不计基因干预支持	Wu: Endothelial; Pal: Endothelial; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	保留	区别抗原递送、血管来源与细胞内代谢酶作用	https://pubmed.ncbi.nlm.nih.gov/38664014/
GAMT	保留原候选池；本轮未专项重评	creatine(降低)	creatine: ρ=0.1092; q=0.5563	creatine: ρ=0.02075; q=1	creatine: ρ=0.1173; q=0.9172	DONE	-0.2154000197822405	0.4472201952499641	本轮未取得适用干预报告	已进行该基因定向检索；本轮未取得足以归属乳腺癌的基因特异功能来源。不是证明该基因无作用。	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	Wu: Malignant_epithelial; Pal: Malignant_epithelial; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	暂挂	肌酸补充/转运研究不可直接算为GAMT功能	NA
GCLC	保留原候选池；本轮未专项重评	glutamate(升高); cysteine(升高)	"glutamate: ρ=0.1355; q=0.4956
cysteine: ρ=0.1545; q=0.4406"	"glutamate: ρ=0.04775; q=0.8606
cysteine: ρ=未测/不可评估; q=未测/不可评估"	"glutamate: ρ=-0.3564; q=0.5208
cysteine: ρ=-0.3023; q=0.599"	DONE	-1.478745704304865	0.0003399214294881	功能线索待方法/模型核定	S038（2011）：GCLC表达和GSH发生变化	S038：上游Nrf2/多靶药物，不等于已核实GCLC特异抗癌干预	Wu: Myeloid; Pal: Myeloid; 稳定标记: True	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	保留	只补具体基因敲低/救援，别追加泛铁死亡关联图	https://pubs.acs.org/doi/10.1021/tx200090n
GDA	保留原候选池；本轮未专项重评	guanine(升高); xanthine(降低)	"guanine: ρ=-0.1316; q=0.5039
xanthine: ρ=0.2214; q=0.2478"	"guanine: ρ=未测/不可评估; q=未测/不可评估
xanthine: ρ=未测/不可评估; q=未测/不可评估"	"guanine: ρ=0.2002; q=0.779
xanthine: ρ=0.02365; q=0.9778"	DONE	-0.1529301896193442	0.2538338703902238	本轮未取得适用干预报告	已进行该基因定向检索；本轮未取得足以归属乳腺癌的基因特异功能来源。不是证明该基因无作用。	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	Wu: B_cells; Pal: Mast_cells; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	暂挂	与PNP/HPRT1区分；保留鸟嘌呤/黄嘌呤关系	NA
GDPD5	保留原候选池；本轮未专项重评	choline(降低); glycerophosphorylcholine (GPC)(降低)	"choline: ρ=0.1388; q=0.4956
glycerophosphorylcholine (GPC): ρ=0.04077; q=0.8638"	"choline: ρ=0.1065; q=0.4062
glycerophosphorylcholine (GPC): ρ=-0.08252; q=0.5685"	"choline: ρ=0.3218; q=0.5466
glycerophosphorylcholine (GPC): ρ=0.2301; q=0.7302"	DONE	-2.323451524704751	2.5851705904242232e-05	有乳腺癌遗传干预报告	S039（2016）：两者提高GPC；GDPD5降低MCF7存活，GPCPD1不降低两系存活；MDA-MB-231迁移/侵袭降低 | S040（2014）：体内GPC和磷酸乙醇胺升高	S039：无DNA ladder凋亡；GPC增加幅度与表型强度不一致；不能证明GPC介导 | S040：此摘要证明代谢改变，不自动证明肿瘤缩小	Wu: Endothelial; Pal: Endothelial; 稳定标记: True	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	保留	作为GPCPD1比较节点，不由GPC上升自动推断抑增殖	"https://pubmed.ncbi.nlm.nih.gov/27356959/
https://pubmed.ncbi.nlm.nih.gov/24764256/"
GLS	保留既有支持；新增Tang不精确结果	glutamate(升高); glutamine(降低)	"glutamate: ρ=0.2058; q=0.2675
glutamine: ρ=-0.2112; q=0.2592"	"glutamate: ρ=-0.1029; q=0.4372
glutamine: ρ=-0.355; q=0.00348"	"glutamate: ρ=0.3549; q=0.5208
glutamine: ρ=-0.3444; q=0.5383"	DONE	0.0464494188529407	0.6768246487873012	有乳腺癌遗传干预报告	S041（2017）：特定TNBC体内外生长抑制；非TNBC生长和代谢物未受同样影响	S041：亚型和营养背景限定；已有成熟研究，非本项目新机制	Wu: Endothelial; Pal: Endothelial; 稳定标记: False	本轮未安排；不是阴性	Tang谷氨酰胺负向但不显著；不改变FUSCC条件关联；特定亚型/营养背景限制仍在	保持原限定专题；不把谷氨酰胺剥夺替代GLS自身干预	保留	把GLS2旁路和非TNBC无效背景纳入比较	https://pubmed.ncbi.nlm.nih.gov/28950000/
GLS2	保留原候选池；本轮未专项重评	glutamate(升高); glutamine(降低)	"glutamate: ρ=-0.288; q=0.1252
glutamine: ρ=0.2355; q=0.2127"	"glutamate: ρ=-0.128; q=0.2273
glutamine: ρ=-0.07434; q=0.6351"	"glutamate: ρ=-0.3654; q=0.5208
glutamine: ρ=0.2195; q=0.7738"	DONE	-0.0222883649298646	0.4592048615596472	有乳腺癌遗传干预报告	S042（2020）：GLS2支持增殖及迁移转移，可救援GLS抑制后的代谢和生长 | S043（2019）：luminal依赖GLS2且对GLS选择性药物不敏感	S042：GLS2可为GLS抑制旁路；不因其他癌种抑癌报道就建议恢复GLS2 | S043：药物双靶点与特定亚型；不能外推全部乳腺癌	Wu: Nonmalignant_epithelial; Pal: Malignant_epithelial; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	保留	按GATA3/亚型/营养选择既有数据，区分GLS和GLS2	"https://pubmed.ncbi.nlm.nih.gov/31541193/
https://pubmed.ncbi.nlm.nih.gov/31577957/"
GLUL	保留原候选池；本轮未专项重评	glutamate(升高); glutamine(降低)	"glutamate: ρ=0.0239; q=0.8993
glutamine: ρ=-0.04342; q=0.8627"	"glutamate: ρ=0.1275; q=0.2273
glutamine: ρ=0.1384; q=0.1837"	"glutamate: ρ=-0.4917; q=0.268
glutamine: ρ=0.1038; q=0.9172"	DONE	-1.5460145291572394	0.0019013344603114	有乳腺癌遗传干预报告	S044（2017）：SK-BR-3增殖和p38/ERK信号下降	S044：细胞系表达不均；不视为全部乳腺癌依赖	Wu: Myeloid; Pal: Myeloid; 稳定标记: True	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	保留	寻找该模型以外复现或反证，不重新堆预后图	https://pubmed.ncbi.nlm.nih.gov/27791265/
GNPNAT1	保留原候选池；本轮未专项重评	N-acetylglucosamine 6-phosphate(升高)	N-acetylglucosamine 6-phosphate: ρ=0.1323; q=0.4956	N-acetylglucosamine 6-phosphate: ρ=0.021; q=1	N-acetylglucosamine 6-phosphate: ρ=0.05564; q=0.9491	DONE	0.9817195944926472	4.333138394979997e-05	有乳腺癌遗传干预报告	S045（2023）：敲低降低干性标志、乳腺球和克隆形成；过表达相反	S045：体外干性终点；生信部分不算独立功能验证	Wu: Malignant_epithelial; Pal: Malignant_epithelial; 稳定标记: True	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	保留	先核实具体HBP代谢读数及是否有独立体内证据	https://pubmed.ncbi.nlm.nih.gov/37387422/
GOT1	保留原候选池；本轮未专项重评	glutamate(升高); aspartate(升高)	"glutamate: ρ=0.347; q=0.0693
aspartate: ρ=0.1765; q=0.3675"	"glutamate: ρ=0.09387; q=0.4994
aspartate: ρ=-0.0764; q=0.6202"	"glutamate: ρ=0.4917; q=0.2675
aspartate: ρ=0.1203; q=0.9172"	DONE	0.4355693436595027	0.0435965253219147	有乳腺癌遗传干预报告	S114（2015）：敲低影响SUM149增殖，并部分逆转AOA细胞毒性；存在酶间代偿；药物在部分移植瘤有效	S114：AOA不特异；MDA-MB-231体内单药未显示同等效果，较高剂量有毒性；不把AOA全部结果算给GOT1或GOT2	Wu: Malignant_epithelial; Pal: Malignant_epithelial; 稳定标记: True	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	保留	比较GOT2/GPT2代偿和天冬氨酸救援，不把AOA当专一抑制剂	https://pmc.ncbi.nlm.nih.gov/articles/PMC4696069/
GOT2	保留原候选池；本轮未专项重评	glutamate(升高); aspartate(升高)	"glutamate: ρ=0.2311; q=0.2127
aspartate: ρ=0.3359; q=0.08006"	"glutamate: ρ=-0.06455; q=0.6933
aspartate: ρ=-0.1705; q=0.05551"	"glutamate: ρ=0.1789; q=0.8069
aspartate: ρ=0.01353; q=0.9867"	DONE	1.707009823137442	7.48809756296058e-07	有乳腺癌遗传干预报告	S114（2015）：敲低影响SUM149增殖，并部分逆转AOA细胞毒性；存在酶间代偿；药物在部分移植瘤有效	S114：AOA不特异；MDA-MB-231体内单药未显示同等效果，较高剂量有毒性；不把AOA全部结果算给GOT1或GOT2	Wu: Malignant_epithelial; Pal: Malignant_epithelial; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	保留	按GOT1/GOT2区室核对，保留非普适生长结论	https://pmc.ncbi.nlm.nih.gov/articles/PMC4696069/
GPCPD1	保留功能与CAMP背景；外部证据有限	choline(降低); glycerophosphorylcholine (GPC)(降低)	"choline: ρ=0.02417; q=0.8993
glycerophosphorylcholine (GPC): ρ=-0.5214; q=0.0171"	"choline: ρ=-0.04829; q=0.8606
glycerophosphorylcholine (GPC): ρ=-0.04057; q=0.9526"	"choline: ρ=-0.04812; q=0.9491
glycerophosphorylcholine (GPC): ρ=-0.3278; q=0.5466"	DONE	0.3680114206872167	0.0083689241652424	有乳腺癌遗传干预报告	S039（2016）：两者提高GPC；GDPD5降低MCF7存活，GPCPD1不降低两系存活；MDA-MB-231迁移/侵袭降低 | S047（2024）：黏附/克隆/抗失巢凋亡下降，迁移未改变；实验性转移负荷下降和腹腔模型生存改善 | S115（2023）：遗传抑制降低细胞存活/克隆及相应模型肿瘤生长	S039：无DNA ladder凋亡；GPC增加幅度与表型强度不一致；不能证明GPC介导 | S047：注射转移省略自发转移早期步骤；没有证明GPC升高介导抑转移；与2023研究相关作者/模型 | S115：特定亚型；药物不具EDI3专一性；与2024研究存在模型/作者关联，不算独立临床复现	Wu: Myeloid; Pal: Myeloid; 稳定标记: True	本轮未安排；不是阴性	Tang GPC负向但区间跨零；既有FUSCC未复现结果不覆盖；不能宣称跨队列稳定成立	作为参照候选保留；不再把已有功能当首次发现	保留	先做独立关系复现或具体亚型问题，不再宣称新发现靶点	"https://pubmed.ncbi.nlm.nih.gov/27356959/
https://link.springer.com/article/10.1186/s13058-024-01849-y
https://link.springer.com/article/10.1186/s13046-022-02578-w"
GPI	CAMP支持保留；Tang未支持正关联	glucose 6-phosphate(升高); fructose-6-phosphate(升高)	"glucose 6-phosphate: ρ=0.4648; q=0.0171
fructose-6-phosphate: ρ=0.4561; q=0.0171"	"glucose 6-phosphate: ρ=未测/不可评估; q=未测/不可评估
fructose-6-phosphate: ρ=未测/不可评估; q=未测/不可评估"	"glucose 6-phosphate: ρ=-0.1293; q=0.9151
fructose-6-phosphate: ρ=-0.203; q=0.779"	DONE	-0.994467835239254	0.0244562247158207	有乳腺癌遗传干预报告	S046（2020）：GPI降低使糖酵解下降、耗氧恢复，迁移/侵袭下降并增敏化疗；HP和GPI抑制有体内效应	S046：HP与GPI实验须分别归属；代谢/非代谢作用不能混写	Wu: Malignant_epithelial; Pal: Malignant_epithelial; 稳定标记: True	本轮未安排；不是阴性	FUSCC为缺项；Tang的G6P和F6P已评估且未支持正关联，不能再统称外部缺测；宽区间不证明反向作用	更新候选判断；不删除，不为追求显著性持续换队列或模型	优先核查	全文区分GPI与HP干预，查糖磷酸测量及可复用扰动数据	https://pubmed.ncbi.nlm.nih.gov/33042622/
GSR	保留原候选池；本轮未专项重评	glutathione, reduced (GSH)(升高)	glutathione, reduced (GSH): ρ=0.03297; q=0.8839	glutathione, reduced (GSH): ρ=-0.03016; q=1	glutathione, reduced (GSH): ρ=-0.1414; q=0.8867	DONE	0.6595179551201928	0.001217071841101	仅他癌或不适用乳腺癌	S120（2021）：不作为本轮乳腺癌功能支持	S120：乳腺癌出现在背景/药物介绍不能当乳腺癌GSR遗传证据	Wu: Malignant_epithelial; Pal: Malignant_epithelial; 稳定标记: True	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	暂挂	不把Stattic其他癌种结果移用；等待直接乳腺癌来源	https://pmc.ncbi.nlm.nih.gov/articles/PMC8275107/
GSS	保留原候选池；本轮未专项重评	glycine(升高); glutathione, reduced (GSH)(升高)	"glycine: ρ=0.1211; q=0.5471
glutathione, reduced (GSH): ρ=-0.1614; q=0.4087"	"glycine: ρ=0.06727; q=0.6933
glutathione, reduced (GSH): ρ=-0.04325; q=0.9065"	"glycine: ρ=0.6105; q=0.1487
glutathione, reduced (GSH): ρ=0.03609; q=0.9778"	DONE	0.6940120121289599	4.041571443500272e-05	遗传干预仅分子终点	S119（2025）：GSS耗减逆转GLO1导致的VEGFA蛋白增加；GLO1稳定GSS	S119：部分原文GSH/GSS术语需核清；这里只记分子互作/挽救，不认定GSS独立生长或转移因果	Wu: Malignant_epithelial; Pal: Malignant_epithelial; 稳定标记: True	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	优先核查	先查Figure8P具体模型、GSS/GSH区分；不自动赋予肿瘤转移功能	https://advanced.onlinelibrary.wiley.com/doi/10.1002/advs.202500722
HAL	保留原候选池；本轮未专项重评	histidine(降低)	histidine: ρ=-0.067; q=0.755	histidine: ρ=-0.07636; q=0.6202	histidine: ρ=-0.03084; q=0.9778	DONE	0.0214411015384614	0.6996392405201998	观察性或非基因特异背景	S048（2022）：HAL为风险模型相关基因之一	S048：风险关联不能写为HAL敲低抑癌	Wu: Malignant_epithelial; Pal: Endothelial; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	暂挂	保留关联资料，但不为填满功能列增加泛预后分析	https://pmc.ncbi.nlm.nih.gov/articles/PMC9161264/
HPD	保留原候选池；本轮未专项重评	4-hydroxyphenylpyruvate(升高)	4-hydroxyphenylpyruvate: ρ=-0.117; q=0.5471	4-hydroxyphenylpyruvate: ρ=未测/不可评估; q=未测/不可评估	4-hydroxyphenylpyruvate: ρ=-0.1442; q=0.8867	DONE	-0.5252843859722858	0.2001208177259263	观察性或非基因特异背景	S049（2019）：高HPD与分级分期和较差结局相关	S049：标题potential target不等于功能靶点；当前只计观察性	Wu: Malignant_epithelial; Pal: Malignant_epithelial; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	保留	只补HPD本体操纵，避免potential target题名被当成证据	https://pubmed.ncbi.nlm.nih.gov/31277952/
HPRT1	保留原候选池；本轮未专项重评	guanine(升高); hypoxanthine(升高)	"guanine: ρ=0.3406; q=0.0693
hypoxanthine: ρ=0.1655; q=0.3927"	"guanine: ρ=未测/不可评估; q=未测/不可评估
hypoxanthine: ρ=0.01621; q=1"	"guanine: ρ=0.4436; q=0.4036
hypoxanthine: ρ=0.5895; q=0.1487"	DONE	0.5918712753535074	0.0001956432864394	遗传干预仅分子终点	S050（2020）：改变癌症/DNA修复相关转录程序；当前所读材料未确认肿瘤生长/迁移终点	S050：有基因干预不等于已有抗肿瘤表型；MCF10A不是患者正常组织	Wu: Malignant_epithelial; Pal: Malignant_epithelial; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	优先核查	检查公开扰动RNA能否回答嘌呤代谢响应；不冒充已完成代谢中介	https://www.mdpi.com/2072-6694/12/6/1522
