metabolite_name	metabolite_key	selected_paired_P_lt_005	paired_P	paired_q	up_pairs	down_pairs	equal_pairs	both_observed_pairs	original_effect	original_q	mapping_status	direct_relations	conditional_relations	unresolved_relations	identity_status	identity_note	legacy_feature	genes
dimethylglycine	KEGG:C01026	False	0.5480897994315235	0.6137061838705087	13	14	6	16	-0.0304806475286412	0.706510481735015	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
gamma-aminobutyrate (GABA)	KEGG:C00334	False	0.059422281027878526	0.08998231127078749	20	13	0	33	0.544534782625098	0.0807523280020274	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
GDP-mannose	KEGG:C00096	False	0.7812637101499429	0.8119015027048426	16	14	3	20	-0.145191617002731	0.566694491507178	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
choline	KEGG:C00114	False	0.5735461429159542	0.6289230118871498	16	17	0	33	-0.0312572880863205	0.964626161697931	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
serine	KEGG:C00065	True	0.02493472093799953	0.043567259660900276	8	25	0	33	-0.356571543699527	0.159943053674959	CONDITIONAL_IDENTITY	0	36	0	HOLD_D_L_ID_CONFLICT	Original KEGG L-serine vs HMDB0003406 D-serine; https://hmdb.ca/metabolites/HMDB0003406	False	NA
malate	KEGG:C00149	False	0.16612685711403719	0.2277083644925165	13	20	0	33	-0.150214090275675	0.506852324773136	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
fructose 1,6-diphosphate/glucose 1,6-diphosphate/myo-inositol diphosphates	KEGG:C00354	True	0.04634221458528061	0.07442840524302644	19	14	0	32	0.336260528935214	0.133869593570965	CONDITIONAL_IDENTITY	0	8	0	HOLD_COMBINED_FEATURE	Only original fructose-1,6-bisphosphate hypothesis screened here; other combined components unresolved.	False	NA
glutathione, oxidized (GSSG)	KEGG:C00127	False	0.8371970949247649	0.8643788187859586	17	16	0	33	-0.059523131236803	0.991708285518034	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
2AB	KEGG:C02356	False	0.6231681011032775	0.6740389664994634	14	19	0	33	-0.0385003868227048	0.964626161697931	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
adenosine 5'-diphosphate (ADP)	KEGG:C00008	False	0.376449272036509	0.45172843108662664	17	16	0	33	0.0785818716609976	0.541926741990423	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
fumarate	KEGG:C00122	False	0.20778411760699356	0.27080061229108177	12	21	0	33	-0.180688241394585	0.338008097447384	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
5-aminovalerate	KEGG:C00431	False	0.5376040906609355	0.6062344001070125	16	17	0	32	0.119226583275157	0.719846845069486	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
sarcosine	KEGG:C00213	False	0.23141097273990163	0.29672858601326096	12	20	1	30	-0.123782837786962	0.604140297351027	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
nicotinamide adenine dinucleotide phosphate (NADP+)	KEGG:C00006	False	0.7681320131051164	0.8035065137086415	15	18	0	24	-0.109797120751975	0.681824622237587	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
NADPH	HMDB:HMDB06341	False	0.8810869002194571	0.8980308790698314	16	16	1	26	-0.0650747348205219	0.716290315840259	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
betaine	KEGG:C00719	True	0.026111816620290225	0.04464278325404458	11	22	0	33	-0.296275896426128	0.296348707671649	HAS_DIRECT_RELATIONS	7	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	ALDH7A1;BHMT;SLC22A15;SLC22A4;SLC22A5;SLC6A12;SLC6A20
nicotinamide adenine dinucleotide (NAD+)	KEGG:C00003	False	0.6486563230628954	0.6875757024466692	17	16	0	33	0.218080702953548	0.383007040227836	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
pipecolate	KEGG:C00408	False	0.07879850977147487	0.11600891716356022	11	21	1	27	-0.224320470836316	0.232790476988489	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
citrulline	KEGG:C00327	False	0.330157497691709	0.40160123961467387	13	20	0	33	-0.208429668744069	0.275489855979451	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
ornithine	KEGG:C00077	False	0.14045577106998597	0.19763245663829881	13	20	0	33	-0.219277082886942	0.427817882228958	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
4-Acetylbutyrate	KEGG:C02129	False	0.9611595909257591	0.9611595909257591	13	9	11	12	-0.0625147698793676	0.706510481735015	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
trimethylamine N-oxide	KEGG:C01104	False	0.9531196641542745	0.9591520670919598	14	17	2	23	-0.0460768070269532	0.802953410696133	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
UDP-glucose	KEGG:C00029	True	0.02993561432435854	0.050102765027084294	12	21	0	32	-0.479570976201485	0.118950274477379	HAS_DIRECT_RELATIONS	15	1	2	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	ALG5;GALE;GALT;GYG1;GYG2;GYS1;GYS2;SLC35A2;SLC35D1;SLC35D2;SLC35D3;UGCG;UGDH;UGP2;UGT2B7
3-methylhistidine	KEGG:C01152	True	0.0027637524655597713	0.006580946070312909	8	25	0	33	-0.284211103884199	0.355731040548491	CONDITIONAL_IDENTITY	0	2	0	HOLD_METHYL_POSITION_NOMENCLATURE	Source feature and KEGG historical 1/3-methyl synonyms require position-specific annotation check; no histone residue enzyme jump.	False	NA
2-aminoadipate	KEGG:C00956	False	0.5376040906609355	0.6062344001070125	17	16	0	32	-0.233771639191166	0.541926741990423	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
cytidine diphosphate	KEGG:C00112	False	0.198610209945546	0.26315852817784846	19	11	3	23	0.133496323804633	0.464735018892266	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
Isethionate	NAME:Isethionate	False	0.927424500241308	0.9392388250851463	13	15	5	22	0.00614891561085994	0.942682547493891	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
guanosine 5'-triphosphate (GTP)	KEGG:C00044	False	0.3308790087391338	0.40160123961467387	19	13	1	30	0.149298565635581	0.395369236508722	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
cytidine	KEGG:C00475	False	0.18908678212713148	0.2547864267645246	14	19	0	32	-0.484622433872367	0.0458478582879108	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	True	NA
2-hydroxybutyrate (AHB)	KEGG:C05984	True	0.0005409786482367017	0.0016541462513391457	5	22	6	26	-0.336422998573065	0.12185706354843	NO_DIRECT_HIT_IN_SCOPED_SEARCH	0	0	5	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	NA
uridine	KEGG:C00299	True	0.0004463766618392549	0.0013916448869106183	8	25	0	33	-0.928810287622812	0.00111232647907128	HAS_DIRECT_RELATIONS	16	0	5	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	CDA;NT5C;NT5C2;NT5E;NT5M;SLC28A1;SLC28A2;SLC28A3;SLC29A1;SLC29A2;SLC29A3;UCK1;UCK2;UCKL1;UPP1;UPP2
2-Hydroxypentanoate	NAME:2-Hydroxypentanoate	True	0.045484489171984846	0.07379626304434275	9	20	4	25	-0.343884307751192	0.296348707671649	CONDITIONAL_IDENTITY	0	0	0	HOLD_NO_EXACT_DATABASE_ID	Original KEGG/HMDB empty; scoped KEGG name search returned no entry. Not negative biological evidence.	False	NA
Cyclohexylamine	KEGG:C00571	False	0.3862707203664827	0.45833615327067717	7	3	23	3	0.185663473826958	0.466892936409627	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
1-methylhistamine	KEGG:C05127	True	0.002773103061075251	0.006580946070312909	8	24	1	30	-0.596838488935626	0.0258711210739767	HAS_DIRECT_RELATIONS	2	0	2	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	AOC1;HNMT
glucose 1-phosphate	KEGG:C00103	False	0.6288430020541073	0.6755813332878585	15	15	3	21	-0.172055165634409	0.598262726128864	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
guanidinoacetate	KEGG:C00581	True	0.00019497298967102218	0.0007269690833274863	6	27	0	33	-0.522523018986262	0.0074791702312904	HAS_DIRECT_RELATIONS	2	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	GAMT;GATM
glucuronate	KEGG:C00191	True	0.026398980713274567	0.04465359503628358	7	16	10	18	-0.445301518249616	0.102697311380866	HAS_DIRECT_RELATIONS	4	1	19	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	GUSB;KL;MIOX;SLC17A5
sebacate (decanedioate)	KEGG:C08277	True	0.017873515819031526	0.03273084757547438	6	22	5	24	-0.289870484694869	0.12185706354843	HAS_DIRECT_RELATIONS	1	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	ACOT8
uridine 5'-monophosphate (UMP)	KEGG:C00105	True	0.015474009505206743	0.029290089420569907	12	21	0	33	-0.495355829225026	0.0859555339031192	HAS_DIRECT_RELATIONS	28	0	6	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	ASMTL;CANT1;CMPK1;DPAGT1;ENPP1;ENPP3;ENTPD1;ENTPD3;ENTPD4;ENTPD5;ENTPD6;ENTPD8;NT5C;NT5C2;NT5E;NT5M;SLC25A36;SLC35A1;SLC35A2;SLC35A3;SLC35A5;SLC35D1;SLC35D2;SLC35D4;UCK1;UCK2;UCKL1;UMPS
inosine	KEGG:C00294	True	0.006433188589840646	0.01345890770769293	8	25	0	33	-0.467146949402204	0.00317493716792095	HAS_DIRECT_RELATIONS	13	0	4	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ADA;ADA2;LACC1;NT5C;NT5C1A;NT5C2;NT5E;PNP;SLC28A2;SLC28A3;SLC29A1;SLC29A2;SLC29A3
Propionate	KEGG:C00163	False	0.24519030932096386	0.311882073456266	15	15	3	23	-0.257659933527903	0.335953064469857	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
3-hydroxybutyrate (BHBA)	KEGG:C01089	True	0.0001756918371506169	0.0006813415148036119	6	23	4	28	-0.337141033258101	0.201308384491351	HAS_DIRECT_RELATIONS	5	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	BDH1;BDH2;SLC16A1;SLC16A7;SLC5A8
creatine	KEGG:C00300	True	9.456859109027828e-05	0.0003759101495838562	6	27	0	33	-0.803110403962142	0.0051099208710439	HAS_DIRECT_RELATIONS	9	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	CKB;CKM;CKMT1A;CKMT1B;CKMT2;GAMT;SLC16A9;SLC22A15;SLC6A8
cytidine 5'-monophosphate (5'-CMP)	KEGG:C00055	True	0.017909331692240696	0.03273084757547438	11	22	0	33	-0.568550324207397	0.0539757777143879	HAS_DIRECT_RELATIONS	29	0	7	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	ADPRM;AK4;AK9;ASMTL;CDIPT;CEPT1;CHPT1;CMPK1;CMPK2;CRLS1;ENPP1;ENPP3;ENTPD1;ENTPD3;ENTPD5;NT5C2;NT5C3A;NT5C3B;NT5E;PGS1;SELENOI;SLC25A36;SLC35A1;SLC35A2;ST6GALNAC3;ST6GALNAC4;UCK1;UCK2;UCKL1
Hexanoate	KEGG:C01585	False	0.5258798792348047	0.6015460489088773	13	20	0	30	-0.0946760061601497	0.73939377650572	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
triethanolamine	KEGG:C06771	True	4.174619343439777e-05	0.00023705874128818733	4	25	4	23	-0.763394607391977	0.00205315909153294	CONDITIONAL_IDENTITY	0	0	0	HOLD_EXPOSURE_OR_ANNOTATION_REVIEW	名称与 KEGG 一致，原注释/暴露来源需核查；不自动当作内源代谢物映射。	True	NA
malonate	KEGG:C00383	True	0.0020306384450003404	0.00512494464690562	3	21	9	23	-0.300205658965365	0.139266731582772	HAS_DIRECT_RELATIONS	7	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	ACOT8;ACSF3;SLC25A10;SLC25A11;SLC25A14;SLC25A30;UCP2
Phthalate	KEGG:C01606	True	0.00035503938074694154	0.0012010906710375256	3	21	9	22	-0.607579272336491	0.0104274039204103	CONDITIONAL_IDENTITY	0	0	0	HOLD_EXPOSURE_OR_ANNOTATION_REVIEW	名称与 KEGG 一致，原注释/暴露来源需核查；不自动当作内源代谢物映射。	True	NA
N-acetylneuraminate	KEGG:C00270	True	0.00036436716452989236	0.0012069662325052684	7	26	0	33	-0.914050093379568	0.000927728383719889	HAS_DIRECT_RELATIONS	5	1	2	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	NANP;NEU2;NEU3;NEU4;SLC17A5
ribulose/xylulose 5-phosphate	KEGG:C00199	True	5.18642191075362e-05	0.00026601325284187927	4	29	0	33	-1.38855897890463	2.1849625495186e-06	CONDITIONAL_IDENTITY	0	9	0	HOLD_COMBINED_FEATURE	原名合并 ribulose/xylulose，原 KEGG 仅 ribulose。两个假设不拆成两条独立测量或检验。	True	NA
glucose 6-phosphate	KEGG:C00668	False	0.1357086529569216	0.19265781982277264	14	19	0	33	-0.358076113059511	0.16177907131735	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
azelate (nonanedioate)	KEGG:C08261	True	0.01565848334220057	0.029290574722469303	8	22	3	27	-0.383174360489904	0.0277131462125493	HAS_DIRECT_RELATIONS	1	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ABHD3
urea	KEGG:C00086	True	7.110442835794288e-07	1.806440826697348e-05	1	32	0	33	-0.857440071272848	0.00191710763837069	HAS_DIRECT_RELATIONS	9	0	1	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	AGMAT;AQP10;AQP3;AQP7;AQP9;ARG1;ARG2;SLC14A1;SLC14A2
glutarate (C5-DC)	KEGG:C00489	True	0.0047496512171545735	0.010345130733254482	6	26	1	30	-0.378058922306145	0.12185706354843	CONDITIONAL_IDENTITY	0	9	0	HOLD_NAME_CLASS_CONFLICT	Glutarate annotation and C5-DC acylcarnitine-style label require original identity confirmation; not interchangeable.	False	NA
creatinine	KEGG:C00791	True	6.484785739349568e-07	1.806440826697348e-05	1	32	0	33	-1.21647722662822	2.15403529632938e-06	HAS_DIRECT_RELATIONS	4	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	SLC22A2;SLC22A7;SLC47A1;SLC47A2
glutamine	KEGG:C00064	True	2.976463631587499e-06	3.380412267302945e-05	4	29	0	33	-1.18517818312271	1.53194804029879e-05	HAS_DIRECT_RELATIONS	35	1	1	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ASNS;BEST2;CAD;CTPS1;CTPS2;GFPT1;GFPT2;GLS;GLS2;GLUL;GMPS;KYAT1;NADSYN1;PFAS;PPAT;QARS1;QRSL1;SLC1A5;SLC38A1;SLC38A10;SLC38A2;SLC38A3;SLC38A4;SLC38A6;SLC38A7;SLC38A8;SLC38A9;SLC6A14;SLC6A15;SLC6A17;SLC6A19;SLC7A13;SLC7A5;SLC7A6;SLC7A8
Acetohydroxamate	KEGG:C06808	True	0.01971375711025402	0.03561917477875442	5	28	0	28	-0.521320132255297	1.51302088736128e-05	CONDITIONAL_IDENTITY	0	0	0	HOLD_EXPOSURE_OR_ANNOTATION_REVIEW	名称可对应 acetohydroxamic acid；先核对外源背景/原注释，不将药理靶点当作代谢关系。	True	NA
guanosine	KEGG:C00387	True	8.782118560905848e-05	0.00035804021825231537	6	27	0	33	-1.10566416561374	7.94549647812405e-05	HAS_DIRECT_RELATIONS	11	0	6	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ENPP3;LACC1;NT5C2;NT5E;PNP;SLC22A7;SLC28A2;SLC28A3;SLC29A1;SLC29A2;SLC29A3
phosphoenolpyruvate (PEP)	KEGG:C00074	True	0.004681835234144671	0.010339052808736149	9	21	3	25	-0.681593834380287	0.00582518324469414	HAS_DIRECT_RELATIONS	11	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ENO1;ENO2;ENO3;ENO4;NANS;PCK1;PCK2;PKLR;PKM;SLC25A1;SLC25A35
uridine 5'-triphosphate (UTP)	KEGG:C00075	False	0.4528065046691958	0.5217118423362473	18	12	3	18	0.178841839486444	0.541926741990423	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
cis-aconitate	KEGG:C00417	True	5.3686202226740976e-05	0.0002667533173141192	4	28	1	30	-0.8353983577876	0.000307793700547115	HAS_DIRECT_RELATIONS	2	0	2	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ACOD1;SLC25A1
glycerophosphorylcholine (GPC)	KEGG:C00670	True	0.0009181299027220289	0.00256109920232987	8	25	0	33	-0.671891137099271	0.0113140364356053	HAS_DIRECT_RELATIONS	10	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	GDPD5;GPCPD1;LYPLA1;LYPLA2;PLA2G15;PLB1;PNPLA6;PNPLA7;TMEM86A;TMEM86B
6-phosphogluconate	KEGG:C00345	True	0.0034847323382247116	0.008030035388083032	10	23	0	32	-0.641702243769376	0.0291207682154118	HAS_DIRECT_RELATIONS	4	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	H6PD;IDNK;PGD;PGLS
carnosine	KEGG:C00386	True	0.0009028823434238286	0.00256109920232987	5	24	4	25	-0.552013685316796	0.0303181418621276	HAS_DIRECT_RELATIONS	8	0	1	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	CARNMT1;CARNS1;CNDP1;SLC15A1;SLC15A2;SLC15A3;SLC15A4;SLC22A15
adenosine 5'-triphosphate (ATP)	KEGG:C00002	False	0.25653995570017973	0.3237289917168935	15	18	0	33	-0.205340685542612	0.520910815457932	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
piperidine	KEGG:C01746	True	0.0012026870288842505	0.0032411396202134887	8	18	7	13	-0.512287320612044	0.152967058675906	NO_DIRECT_HIT_IN_SCOPED_SEARCH	0	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	NA
allantoin	KEGG:C02350	True	0.0006659979173404972	0.0019609938677247972	3	29	1	26	-1.13251050393184	2.75917060479647e-06	HAS_DIRECT_RELATIONS	1	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。 原名未标手性，KEGG 为 (S)-allantoin；无对应人类反应也不表示不存在非酶生成。	True	URAD
inosine 5'-monophosphate (IMP)	KEGG:C00130	True	6.511611887852214e-05	0.00031374130005106123	5	28	0	33	-0.889251406041119	0.00103594092695614	HAS_DIRECT_RELATIONS	23	0	6	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ADSS1;ADSS2;AMPD1;AMPD2;AMPD3;ATIC;CANT1;ENTPD1;ENTPD3;ENTPD5;ENTPD6;GMPR;GMPR2;HPRT1;IMPDH1;IMPDH2;ITPA;NT5C;NT5C1A;NT5C2;NT5E;NUDT16;SLC25A36
pelargonate (9:0)	KEGG:C01601	True	0.0020976124386958965	0.005211255902385118	3	18	12	20	-0.35654035768113	0.0796319838549086	HAS_DIRECT_RELATIONS	4	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	ABHD3;ALDH1B1;ALDH3B1;ALDH7A1
nicotinamide adenine dinucleotide reduced (NADH)	KEGG:C00004	False	0.3778608888963606	0.45172843108662664	14	17	2	23	-0.345703149862443	0.25129524384303	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
3PG	KEGG:C00197	True	1.7560560082939785e-06	2.147791579374943e-05	3	30	0	33	-1.62220266413497	2.50033886118489e-07	HAS_DIRECT_RELATIONS	9	0	2	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	BPGM;GLYCTK;PGAM1;PGAM2;PGAM4;PGK1;PGK2;PGM2L1;PHGDH
citrate	KEGG:C00158	True	2.7894715873627007e-05	0.00018480249266277892	4	29	0	33	-1.08156774149304	4.64513926849744e-06	HAS_DIRECT_RELATIONS	12	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ACLY;ACO1;ACO2;ANKH;CS;RIMKLB;SFXN5;SLC13A2;SLC13A5;SLC25A1;SLC25A14;SLC25A21
Octanoate	KEGG:C06423	False	0.26924105504943696	0.33708132088866516	12	14	7	14	-0.18921545596387	0.629150324537427	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
dihydroxyacetone phosphate (DHAP)	KEGG:C00111	True	0.0013399868070180538	0.003492752496981484	9	24	0	33	-0.920687204019363	0.00208970754081866	HAS_DIRECT_RELATIONS	9	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ALDOA;ALDOB;ALDOC;GNPAT;GPD1;GPD1L;GPD2;TKFC;TPI1
N-acetylaspartate (NAA)	KEGG:C01042	True	3.859027284068544e-06	3.8349083635431156e-05	3	30	0	33	-1.60890842089475	4.01049322955914e-08	HAS_DIRECT_RELATIONS	6	0	1	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ABCC5;ASPA;NAT8L;RIMKLA;RIMKLB;SLC13A3
gluconate	KEGG:C00257	True	0.009345420962008471	0.018809138391890468	10	22	1	29	-0.429281259521108	0.168968959284748	HAS_DIRECT_RELATIONS	5	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	IDNK;PANX1;PANX2;RGN;SLC26A7
guanine	KEGG:C00242	True	0.014303043516311568	0.02773395023284804	10	22	1	28	-0.589713633659115	0.00340110367227365	HAS_DIRECT_RELATIONS	8	1	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	GDA;HPRT1;LACC1;PNP;SLC29A1;SLC29A2;SLC29A3;SLC43A3
ophthalmate	HMDB:HMDB05765	True	8.782118560905848e-05	0.00035804021825231537	5	28	0	32	-0.853784378285622	0.000312736900370037	CONDITIONAL_RELATIONS_ONLY	0	1	0	PROVISIONAL_NEW_KEGG_ID	原表仅 HMDB；本次按 ophthalmate 独立名称检索得到 C21016。尚未完成原 HMDB 交叉核验。	True	NA
